Me identifico,Tengo,Argentina,Años de experiencia,Años en el puesto actual,¿Gente a cargo?,¿Cuánta?,Trabajo de,Tecnologías que utilizás,Tecnologías que utilizás,Tecnologías que utilizás,Automation o funcional?,Tecnologías que utilizás,Tecnologías que utilizás,¿Tenés guardias?,Cuánto cobrás por guardia (en tu moneda local),"¿Porcentaje, bruto o neto?",Tipo de contrato,Salario mensual (en tu moneda local),¿Bruto o neto?,¿Qué tan conforme estás con tu sueldo?,Cómo creés que está tu sueldo con respecto a Enero 2017,Recibís algún tipo de bono,A qué está atado el bono,¿Tuviste ajustes por inflación en 2017?,¿De qué % fue el ajuste?,Cantidad de empleados,¿Cambiaste de empresa en los últimos 6 meses?,¿Cuál fue el principal motivo de cambio?,Beneficios extra
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,10+,Menos de un año,No,0,SysAdmin / DevOps,"Linux, Windows","C++, PHP, Python",,,,,"Sí, pasiva",0,Porcentaje de mi sueldo,Full-Time,22000,Neto,2,2,No,No recibo bono,No,0,51-100,Sí,Mayor comodidad,Abono de celular y/o Internet
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,9,Menos de un año,No,0,Developer,,"Java, Scala",,,,,No,0,Porcentaje de mi sueldo,Full-Time,65000,Bruto,4,4,No,No recibo bono,Uno,9,1001+,Sí,Cierre de empresa anterir,"Aumento por inflación, Capacitaciones y/o cursos, Horarios flexibles, Laptop, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,5,2,No,0,Networking,,,,,,,"Sí, pasiva",0,Porcentaje de mi sueldo,Full-Time,22542.3,Bruto,3,2,No,No recibo bono,Dos,35,101-200,No,No cambié de empresa,"Aumento por inflación, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Descuentos en gimnasios, Laptop, Masajes"
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,7,Menos de un año,No,0,Developer,,Java,,,,,No,0,Neto,Tercerizado (trabajo a través de consultora o agencia),45000,Bruto,2,2,No,No recibo bono,No,0,101-200,No,No cambié de empresa,"Clases de idiomas, Descuentos en gimnasios, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc)"
Mujer,34 - 36,Ciudad Autónoma de Buenos Aires,10+,1,No,0,Developer,,"CSS, HTML, Javascript, jQuery, reactJS",,,,,No,0,Bruto,Full-Time,28000,Neto,3,3,No,No recibo bono,Uno,12,1-10,No,No cambié de empresa,"Aumento por inflación, Clases de idiomas, Comidas pagas/subvencionadas, Horarios flexibles, WFH (Trabajar desde casa)"
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,10+,4,Sí,4,Developer,,"Assembler, C, C++, Go, HTML, Java, Javascript, jQuery, NodeJS, Python, Rust",,,,,No,0,Neto,Freelance,23000,Bruto,3,3,No,No recibo bono,No,0,11-50,No,No cambié de empresa,"Comidas pagas/subvencionadas, Horarios flexibles, Laptop, WFH (Trabajar desde casa)"
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,7,Menos de un año,No,0,QA / Tester,,,ALM,Funcional,JIRA,,,,,Tercerizado (trabajo a través de consultora o agencia),29000,Bruto,1,1,No,No recibo bono,Uno,17,11-50,No,No cambié de empresa,Capacitaciones y/o cursos
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,8,5,Sí,3,Tech Lead,,,,,,,,,,Full-Time,63000,Bruto,4,3,3+ sueldos,Performance de la compañía,Uno,18,51-100,No,No cambié de empresa,"Aumento por inflación, Bonos por desempeño, Capacitaciones y/o cursos, Clases de idiomas, Descuentos en gimnasios, Horarios flexibles, Laptop, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), Viajes al exterior, WFH (Trabajar desde casa)"
Mujer,37 - 40,Ciudad Autónoma de Buenos Aires,5,4,No,0,Developer,,"CSS, HTML, Javascript, PHP",,,,,No,0,Bruto,Full-Time,21000,Neto,1,1,No,No recibo bono,No,0,51-100,No,No cambié de empresa,"Comidas pagas/subvencionadas, Horarios flexibles, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,10+,1,No,0,Analista Database,,,,,,,,,,Full-Time,30000,Bruto,2,2,No,No recibo bono,No,0,501-1000,Sí,Cambio de Ciudad,"Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc)"
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,10+,1,No,0,SysAdmin / DevOps,"Linux, Amazon Web Services, VMWare","PHP, Python, Ruby",,,,,"Sí, pasiva",0,Bruto,Full-Time,27,Neto,2,2,No,No recibo bono,Uno,10,11-50,No,No cambié de empresa,"Aumento por inflación, Capacitaciones y/o cursos, Horarios flexibles, Laptop, Snacks, golosinas, bebidas"
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,8,4,No,0,Developer,,"CSS, HTML, Java, Javascript, jQuery, PHP",,,,,No,0,Neto,Full-Time,19000,Neto,3,2,No,No recibo bono,Uno,20,51-100,No,No cambié de empresa,"Aumento por inflación, Clases de idiomas"
Hombre,41 - 45,Ciudad Autónoma de Buenos Aires,10+,Menos de un año,No,0,Developer,,PL SQL,,,,,No,0,Bruto,Full-Time,45000,Bruto,3,3,No,No recibo bono,No,0,51-100,Sí,Salario,Ninguna de las anteriores
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,7,2,Sí,1,Architect,,,,,,,,,,Full-Time,37000,Neto,3,2,No,No recibo bono,Uno,10,11-50,No,No cambié de empresa,"Aumento por inflación, Bonos por desempeño, Horarios flexibles, Laptop, Vacaciones flexibles (adicionales a las reglamentarias)"
Mujer,37 - 40,Ciudad Autónoma de Buenos Aires,4,Menos de un año,No,0,Networking,,,,,,,"Sí, pasiva",0,Bruto,Full-Time,28000,Bruto,3,2,No,No recibo bono,No,0,201-500,Sí,Salario,Ninguna de las anteriores
Mujer,37 - 40,Ciudad Autónoma de Buenos Aires,10+,3,No,0,PM,,,,,,,,,,Full-Time,53000,Bruto,3,2,De uno a tres sueldos,Performance individual,Uno,18,1001+,No,No cambié de empresa,"Bonos por desempeño, Capacitaciones y/o cursos, Comidas pagas/subvencionadas, Descuentos en gimnasios, Horarios flexibles, Laptop, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), Viajes al exterior, WFH (Trabajar desde casa)"
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,3,1,No,0,Analista funcional,,,,,,,,,,Full-Time,23600,Neto,3,3,De uno a tres sueldos,Performance de la compañía,Dos,17,1001+,No,No cambié de empresa,"Abono de celular y/o Internet, Aumento por inflación, Bonos por desempeño, Clases de idiomas, Descuentos en gimnasios, Guardería, Horarios flexibles, Laptop, WFH (Trabajar desde casa)"
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,10+,3,Sí,1,Developer,,"Javascript, NodeJS, Python",,,,,No,0,Bruto,Full-Time,42898,Neto,3,2,No,No recibo bono,Uno,14,101-200,No,No cambié de empresa,"Clases de idiomas, Horarios flexibles, Laptop, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,1,Menos de un año,No,0,Developer,,"Java, Javascript, NodeJS, PHP, Python",,,,,No,0,Porcentaje de mi sueldo,Full-Time,16200,Neto,2,2,Menos de un sueldo,No recibo bono,No,0,101-200,No,No cambié de empresa,Aumento por inflación
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,9,2,No,0,DBA,,,,,,"MSSQL, Oracle","Sí, pasiva",1200,Bruto,Full-Time,43500,Bruto,2,1,Menos de un sueldo,Mix de las anteriores,Uno,5,501-1000,No,No cambié de empresa,"Abono de celular y/o Internet, Aumento por inflación, Bonos por desempeño, Descuentos en gimnasios, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Laptop, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,10+,1,No,0,SysAdmin / DevOps,"Linux, Amazon Web Services, Docker / Containers",Not a dev,,,,,"Sí, pasiva",5000,Bruto,Full-Time,46000,Bruto,3,3,Menos de un sueldo,Mix de las anteriores,Uno,16,201-500,No,No cambié de empresa,"Abono de celular y/o Internet, Aumento por inflación, Bonos por desempeño, Clases de idiomas, Descuentos en gimnasios, Laptop, Masajes, Playroom, Viajes al exterior"
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,10+,6,No,0,SysAdmin / DevOps,"Linux, Solaris, Windows, Amazon Web Services, VMWare",Ruby,,,,,No,0,Bruto,Full-Time,30100,Neto,2,2,Menos de un sueldo,Performance de la compañía,Uno,12,1001+,No,No cambié de empresa,"Aumento por inflación, Capacitaciones y/o cursos, Clases de idiomas, Cuota para universidad, Descuentos en gimnasios, Horarios flexibles, Laptop, Masajes, Snacks, golosinas, bebidas, Stock options / Shares, WFH (Trabajar desde casa)"
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,9,6,No,0,Developer,,"Java, Javascript, jQuery",,,,,No,0,Porcentaje de mi sueldo,Full-Time,40000,Bruto,3,3,No,No recibo bono,Uno,19,201-500,No,No cambié de empresa,"Aumento por inflación, Capacitaciones y/o cursos, Clases de idiomas, Cuota para universidad, Descuentos en gimnasios, Horarios flexibles, Laptop, Masajes, Playroom, Snacks, golosinas, bebidas, Viajes al exterior, Viáticos"
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,10+,5,Sí,10,Architect,,,,,,,,,,Full-Time,34000,Neto,2,1,No,No recibo bono,Uno,13,201-500,No,No cambié de empresa,"Aumento por inflación, Clases de idiomas, Descuentos en gimnasios, Laptop, WFH (Trabajar desde casa)"
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,5,3,No,0,QA / Tester,,,".NET, C#",Funcional,Selenium,,,,,Full-Time,24000,Neto,2,1,No,No recibo bono,Uno,12,201-500,No,No cambié de empresa,"Aumento por inflación, Capacitaciones y/o cursos, Descuentos en gimnasios, Horarios flexibles"
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,7,4,Sí,7,Developer,,"HTML, Java, Javascript, NodeJS, Python, Scala",,,,,No,0,Porcentaje de mi sueldo,Full-Time,50000,Neto,3,2,De uno a tres sueldos,Performance de la compañía,Uno,14,501-1000,No,No cambié de empresa,"Abono de celular y/o Internet, Aumento por inflación, Bonos por desempeño, Capacitaciones y/o cursos, Comidas pagas/subvencionadas, Descuentos en gimnasios, Horarios flexibles, WFH (Trabajar desde casa)"
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,9,Menos de un año,No,0,SysAdmin / DevOps,"Linux, Amazon Web Services",Python,,,,,No,0,Neto,Full-Time,39500,Neto,4,3,No,No recibo bono,Uno,12,1001+,Sí,Mayor comodidad,"Clases de idiomas, Comidas pagas/subvencionadas, Horarios flexibles, Laptop, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,9,6,No,0,Developer,,"CSS, HTML, Java, Javascript, jQuery",,,,,No,0,Neto,Full-Time,24000,Neto,3,3,De uno a tres sueldos,Mix de las anteriores,No,0,1001+,No,Mejores beneficios,"Abono de celular y/o Internet, Aumento por inflación, Bonos por desempeño, Capacitaciones y/o cursos, Descuentos en gimnasios"
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,9,5,No,0,Developer,,".NET, C++, C#, HTML, Javascript, jQuery",,,,,No,0,Neto,Part-Time,10000,Neto,2,2,No,No recibo bono,Uno,20,1001+,No,No cambié de empresa,28 días de vacaciones
Mujer,24 - 26,Ciudad Autónoma de Buenos Aires,4,1,Sí,2,Recruiter,,,,,,,,,,Full-Time,24000,Neto,2,1,Menos de un sueldo,Mix de las anteriores,Dos,26,1001+,No,No cambié de empresa,"Capacitaciones y/o cursos, Comidas pagas/subvencionadas, Descuentos en gimnasios, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Horarios flexibles, WFH (Trabajar desde casa)"
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,5,Menos de un año,No,0,Networking,,,,,,,No,0,Bruto,Full-Time,32000,Neto,2,2,No,No recibo bono,Uno,15,201-500,No,No cambié de empresa,"Aumento por inflación, Capacitaciones y/o cursos"
Mujer,34 - 36,Ciudad Autónoma de Buenos Aires,8,5,Sí,1,Developer,,"HTML, Java, Javascript, jQuery",,,,,No,0,Bruto,Part-Time,25000,Bruto,2,2,No,No recibo bono,No,0,1-10,No,No cambié de empresa,"Horarios flexibles, WFH (Trabajar desde casa)"
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,10+,6,No,0,Asesor Técnico Comercial,,,,,,,,,,Full-Time,45000,Bruto,2,2,No,No recibo bono,No,0,11-50,No,No cambié de empresa,"Laptop, Sueldo divido en dos pagos por mes, Viajes al exterior, Viáticos"
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,10+,1,No,0,Developer,,"Go, Java, Scala",,,,,"Sí, pasiva",0,Porcentaje de mi sueldo,Full-Time,38000,Neto,2,3,De uno a tres sueldos,Performance individual,Uno,7,501-1000,No,Desafíos profesionales,"Bonos por desempeño, Clases de idiomas, Descuentos en gimnasios, Masajes"
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,10+,2,No,0,HelpDesk,,,,,,,No,0,Porcentaje de mi sueldo,Full-Time,13000,Neto,1,1,No,No recibo bono,Uno,11,201-500,No,No cambié de empresa,"Descuentos en gimnasios, Laptop"
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,10+,1,No,0,Developer,,"CSS, HTML, Javascript, jQuery, PHP",,,,,No,0,Porcentaje de mi sueldo,Full-Time,25500,Neto,4,3,No,No recibo bono,Uno,15,11-50,No,No cambié de empresa,"Aumento por inflación, Capacitaciones y/o cursos, Comidas pagas/subvencionadas, Horarios flexibles, Snacks, golosinas, bebidas"
Hombre,41 - 45,Ciudad Autónoma de Buenos Aires,10+,8,Sí,140,PM,,,,,,,,,,Full-Time,25000,Bruto,1,1,Menos de un sueldo,Mix de las anteriores,No,0,1001+,No,No cambié de empresa,Laptop
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,9,6,No,0,Architect,,,,,,,,,,Full-Time,65000,Bruto,3,3,De uno a tres sueldos,Mix de las anteriores,Uno,22,1001+,No,No cambié de empresa,"Aumento por inflación, Bonos por desempeño, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Horarios flexibles, Laptop, Masajes, Snacks, golosinas, bebidas, Stock options / Shares, Vacaciones flexibles (adicionales a las reglamentarias), Viajes al exterior, WFH (Trabajar desde casa)"
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,7,4,No,0,SysAdmin / DevOps,"Windows, VMWare",HTML,,,,,"Sí, pasiva",0,Porcentaje de mi sueldo,Full-Time,35900,Bruto,3,4,Menos de un sueldo,Mix de las anteriores,Dos,10,201-500,No,No cambié de empresa,"Abono de celular y/o Internet, Aumento por inflación, Bonos por desempeño, Comidas pagas/subvencionadas, Descuentos en gimnasios, Laptop, Snacks, golosinas, bebidas"
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,8,4,No,0,seguridad informatica,,,,,,,,,,Full-Time,40000,Neto,3,3,Menos de un sueldo,nada,Uno,33,1001+,No,no cambie pero si la haria por dinero,Capacitaciones y/o cursos
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,9,Menos de un año,No,0,Developer,,PHP,,,,,No,0,Bruto,Full-Time,32000,Bruto,3,2,No,No recibo bono,No,0,11-50,Sí,Mayor comodidad,"Aumento por inflación, Horarios flexibles, WFH (Trabajar desde casa)"
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,10+,10+,No,0,SysAdmin / DevOps,"Linux, Windows, VMWare",Ninguna de éstas,,,,,"Sí, pasiva",0,Porcentaje de mi sueldo,Full-Time,24000,Neto,2,2,No,No recibo bono,No,0,51-100,No,No cambié de empresa,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,10+,2,No,0,Developer,,Java,,,,,No,0,Neto,Tercerizado (trabajo a través de consultora o agencia),42000,Bruto,3,2,No,No recibo bono,Uno,15,501-1000,No,No cambié de empresa,"Horarios flexibles, WFH (Trabajar desde casa)"
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,10+,Menos de un año,No,0,Developer,,Java,,,,,No,0,Porcentaje de mi sueldo,Full-Time,51660,Bruto,3,4,No,No recibo bono,Uno,23,11-50,No,No cambié de empresa,"Aumento por inflación, Clases de idiomas, Horarios flexibles, Laptop, Snacks, golosinas, bebidas, WFH (Trabajar desde casa)"
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,10+,Menos de un año,No,0,Developer,,"HTML, Javascript, NodeJS",,,,,No,0,Neto,Remoto (empresa de otro país),170000,Bruto,4,4,No,No recibo bono,No,0,51-100,Sí,Desafíos profesionales,"Viajes al exterior, WFH (Trabajar desde casa)"
Hombre,41 - 45,Ciudad Autónoma de Buenos Aires,10+,Menos de un año,Sí,3,Developer,,"C, C++, Java, Javascript, jQuery, Objective-C, PHP",,,,,No,0,Neto,Full-Time,20000,Bruto,1,1,No,No recibo bono,No,0,51-100,Sí,Salario,Ninguna de las anteriores
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,4,Menos de un año,No,0,Developer,,".NET, C#",,,,,No,0,Bruto,Tercerizado (trabajo a través de consultora o agencia),26400,Neto,3,3,No,No recibo bono,Uno,10,51-100,No,No cambié de empresa,"Aumento por inflación, Horarios flexibles"
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,4,4,Sí,13,QA / Tester,,,Java,Mix,"Selenium, Test Complete, Soap UI, Jmeter",,,,,Full-Time,41000,Bruto,3,3,No,No recibo bono,Dos,20,1001+,No,No cambié de empresa,"Abono de celular y/o Internet, Aumento por inflación, Comidas pagas/subvencionadas, Cuota para universidad, Laptop, Snacks, golosinas, bebidas"
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,10+,4,Sí,2,DBA,,,,,,"MSSQL, MongoDB, MySQL/MariaDB, PostgreSQL","Sí, pasiva",10,Porcentaje de mi sueldo,Full-Time,33000,Neto,2,2,No,No recibo bono,Uno,10,201-500,No,No cambié de empresa,"Capacitaciones y/o cursos, Clases de idiomas, Descuentos en gimnasios, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Horarios flexibles"
Mujer,34 - 36,Ciudad Autónoma de Buenos Aires,10+,5,No,0,PM,,,,,,,,,,Full-Time,25000,Bruto,2,2,Menos de un sueldo,Performance individual,Uno,25,1001+,No,No cambié de empresa,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Clases de idiomas, Cuota para universidad, Descuentos en gimnasios, Horarios flexibles, Laptop, Snacks, golosinas, bebidas, WFH (Trabajar desde casa)"
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,2,Menos de un año,No,0,data science,,,,,,,,,,Full-Time,27000,Neto,3,4,No,No recibo bono,No,0,11-50,Sí,Desafíos profesionales,"Capacitaciones y/o cursos, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,10+,2,No,0,Developer,,"CSS, HTML, Javascript, jQuery, PHP, Python",,,,,"Sí, pasiva",0,Porcentaje de mi sueldo,Full-Time,39000,Neto,3,3,De uno a tres sueldos,Mix de las anteriores,Uno,20,1-10,No,No cambié de empresa,"Aumento por inflación, Bonos por desempeño, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,6,1,No,0,Analista,,,,,,,,,,Full-Time,28400,Neto,2,2,No,No recibo bono,Dos,30,11-50,No,No cambié de empresa,"Capacitaciones y/o cursos, Laptop, WFH (Trabajar desde casa)"
Mujer,37 - 40,Ciudad Autónoma de Buenos Aires,10+,3,Sí,3,Recursos Humanos,,,,,,,,,,Full-Time,45000,Bruto,3,3,No,No recibo bono,Uno,15,201-500,No,No cambié de empresa,"Aumento por inflación, Capacitaciones y/o cursos"
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,10+,9,Sí,25,Architect,,,,,,,,,,Full-Time,50000,Neto,3,3,De uno a tres sueldos,Performance individual,Uno,18,201-500,No,No cambié de empresa,"Abono de celular y/o Internet, Aumento por inflación, Bonos por desempeño, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Descuentos en gimnasios, Laptop"
Hombre,41 - 45,Ciudad Autónoma de Buenos Aires,8,4,No,0,HelpDesk,,,,,,,"Sí, pasiva",0,Neto,Full-Time,16000,Neto,1,2,No,No recibo bono,Dos,10,1001+,No,No cambié de empresa,Ninguna de las anteriores
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,10+,8,Sí,2,Developer,,"CSS, HTML, Java, Javascript",,,,,No,0,Porcentaje de mi sueldo,Full-Time,38000,Neto,3,3,Menos de un sueldo,Performance individual,Uno,11,1-10,No,No cambié de empresa,"Aumento por inflación, Bonos por desempeño, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,50+,Ciudad Autónoma de Buenos Aires,10+,10+,No,0,Business Intelligence,,,,,,,,,,Full-Time,30000,Bruto,3,2,No,No recibo bono,Uno,14,101-200,No,No cambié de empresa,"Aumento por inflación, Capacitaciones y/o cursos, Descuentos en gimnasios, Horarios flexibles, Snacks, golosinas, bebidas, WFH (Trabajar desde casa)"
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,4,1,No,0,Developer,,"Javascript, NodeJS",,,,,No,0,Porcentaje de mi sueldo,Full-Time,29500,Bruto,2,1,No,No recibo bono,No,0,11-50,No,No cambié de empresa,"Horarios flexibles, WFH (Trabajar desde casa)"
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,10+,10+,No,0,Developer,,".NET, C, C#, CSS, HTML, Java, Javascript, PHP, Visual FoxPro",,,,,No,0,Bruto,Full-Time,30000,Bruto,2,1,No,No recibo bono,Uno,7,501-1000,No,No cambié de empresa,Comidas pagas/subvencionadas
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,10+,Menos de un año,No,0,Developer,,"CSS, HTML, Javascript, jQuery, NodeJS",,,,,No,0,Porcentaje de mi sueldo,Full-Time,30000,Bruto,3,3,No,No recibo bono,No,0,11-50,Sí,Salario,"Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Horarios flexibles"
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,10+,4,Sí,40,PM,,,,,,,,,,Full-Time,54000,Bruto,3,2,Menos de un sueldo,Performance individual,Uno,10,201-500,No,No cambié de empresa,"Abono de celular y/o Internet, Aumento por inflación, Bonos por desempeño, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Descuentos en gimnasios, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Laptop, Viajes al exterior, WFH (Trabajar desde casa)"
Mujer,37 - 40,Ciudad Autónoma de Buenos Aires,10+,4,No,0,QA / Tester,,,"HTML, Java",Funcional,Jmeter - Jira - Postman,,,,,Full-Time,30094.95,Neto,2,2,Un sueldo,Mix de las anteriores,Uno,16,501-1000,No,No cambié de empresa,"Comidas pagas/subvencionadas, Descuentos en gimnasios, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Horarios flexibles, WFH (Trabajar desde casa)"
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,8,2,No,0,jefe desarrollo,,,,,,,,,,Full-Time,35000,Neto,3,2,Un sueldo,Mix de las anteriores,Uno,20,11-50,No,No cambié de empresa,"Comidas pagas/subvencionadas, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Horarios flexibles"
Mujer,34 - 36,Ciudad Autónoma de Buenos Aires,10+,2,Sí,2,PM,,,,,,,,,,Full-Time,48000,Bruto,2,2,Menos de un sueldo,Mix de las anteriores,Uno,11,1001+,No,No cambié de empresa,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Sueldo divido en dos pagos por mes, WFH (Trabajar desde casa)"
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,4,Menos de un año,No,0,Developer,,Genexus,,,,,No,0,Porcentaje de mi sueldo,Full-Time,24400,Neto,2,2,Menos de un sueldo,Mix de las anteriores,Uno,10,101-200,No,No cambié de empresa,"Aumento por inflación, Bonos por desempeño, Capacitaciones y/o cursos, Clases de idiomas, Descuentos en gimnasios, Snacks, golosinas, bebidas, Viajes al exterior"
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,10+,2,Sí,2,SysAdmin / DevOps,"Linux, Amazon Web Services, Docker / Containers","Python, Ruby",,,,,No,0,Porcentaje de mi sueldo,Full-Time,57000,Bruto,3,2,No,No recibo bono,Dos,14,51-100,No,No cambié de empresa,"Aumento por inflación, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias), Viajes al exterior, WFH (Trabajar desde casa)"
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,6,Menos de un año,Sí,6,Architect,,,,,,,,,,Full-Time,50000,Neto,3,3,No,No recibo bono,No,0,1001+,Sí,Desafíos profesionales,"Laptop, WFH (Trabajar desde casa)"
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,3,3,No,0,HelpDesk,,,,,,,No,0,Bruto,Full-Time,15200,Neto,2,1,No,No recibo bono,No,0,11-50,No,No cambié de empresa,Ninguna de las anteriores
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,6,Menos de un año,Sí,8,PM,,,,,,,,,,Full-Time,44000,Bruto,2,2,No,No recibo bono,No,0,201-500,Sí,Salario,"Abono de celular y/o Internet, Aumento por inflación, Clases de idiomas, Descuentos en gimnasios, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Laptop"
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,10+,4,No,0,Developer,,Java,,,,,"Sí, pasiva",0,Bruto,Full-Time,70000,Neto,4,4,No,No recibo bono,Uno,12,51-100,No,No cambié de empresa,"Aumento por inflación, Capacitaciones y/o cursos, Comidas pagas/subvencionadas, Horarios flexibles, Laptop, Snacks, golosinas, bebidas, Stock options / Shares"
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,3,2,No,0,Developer,,"HTML, Java, Javascript, jQuery",,,,,No,0,Neto,Full-Time,27000,Neto,4,3,No,No recibo bono,Uno,12,1001+,No,No cambié de empresa,"Descuentos en gimnasios, Horarios flexibles, WFH (Trabajar desde casa)"
Hombre,41 - 45,Ciudad Autónoma de Buenos Aires,10+,10+,No,0,Networking,,,,,,,No,0,Porcentaje de mi sueldo,Full-Time,45000,Bruto,2,2,No,No recibo bono,No,0,1001+,No,No cambié de empresa,"Abono de celular y/o Internet, Aumento por inflación, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Horarios flexibles"
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,3,3,No,0,Developer,,"CSS, HTML, Javascript, jQuery, PHP",,,,,No,0,Porcentaje de mi sueldo,Full-Time,28000,Neto,4,2,3+ sueldos,Performance de la compañía,No,0,11-50,No,No cambié de empresa,Ninguna de las anteriores
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,10+,5,Sí,10,PM,,,,,,,,,,Full-Time,72000,Bruto,3,2,No,No recibo bono,No,0,11-50,No,No cambié de empresa,"Abono de celular y/o Internet, Clases de idiomas, Horarios flexibles, Laptop, WFH (Trabajar desde casa)"
