Me identifico,Tengo,Argentina,Años de experiencia,Años en el puesto actual,¿Gente a cargo?,¿Cuánta?,Trabajo de,Tecnologías que utilizás,Tecnologías que utilizás,Tecnologías que utilizás,Automation o funcional?,Tecnologías que utilizás,Tecnologías que utilizás,¿Tenés guardias?,Cuánto cobrás por guardia (en tu moneda local),"¿Porcentaje, bruto o neto?",Tipo de contrato,Salario mensual (en tu moneda local),¿Bruto o neto?,¿Qué tan conforme estás con tu sueldo?,Cómo creés que está tu sueldo con respecto a Enero 2017,Recibís algún tipo de bono,A qué está atado el bono,¿Tuviste ajustes por inflación en 2017?,¿De qué % fue el ajuste?,Cantidad de empleados,¿Cambiaste de empresa en los últimos 6 meses?,¿Cuál fue el principal motivo de cambio?,Beneficios extra
Hombre,24 - 26,Chaco,2,1,No,0,HelpDesk,,,,,,,No,0,Neto,Full-Time,15000,Neto,3,2,Menos de un sueldo,Gremio ,Uno,20,1-10,No,No cambié de empresa,Ninguna de las anteriores
Hombre,27 - 30,Chaco,6,2,Sí,3,Developer,,"HTML, Java, Javascript, NodeJS",,,,,No,0,Porcentaje de mi sueldo,Full-Time,110000,Neto,4,3,Un sueldo,Performance individual,Dos,10,11-50,No,No cambié de empresa,"Horarios flexibles, Masajes, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias), Viajes al exterior, WFH (Trabajar desde casa)"
Hombre,27 - 30,Chaco,3,2,No,0,Developer,,"CSS, HTML, Javascript, NodeJS",,,,,No,0,Porcentaje de mi sueldo,Remoto (empresa de otro país),43000,Neto,3,2,No,No recibo bono,No,0,11-50,No,No cambié de empresa,WFH (Trabajar desde casa)
Hombre,37 - 40,Chaco,10+,5,No,0,SysAdmin / DevOps,"*BSD, Linux, Windows, VMWare","HTML, PHP, Python",,,,,No,0,Porcentaje de mi sueldo,Full-Time,32000,Neto,3,3,No,No recibo bono,Uno,10,201-500,No,No cambié de empresa,"Aumento por inflación, Capacitaciones y/o cursos, Guardería, Vacaciones flexibles (adicionales a las reglamentarias), Viajes al exterior, Viáticos"
Hombre,27 - 30,Chaco,5,Menos de un año,No,0,Developer,,"CSS, HTML, Java, Javascript, jQuery",,,,,No,0,Porcentaje de mi sueldo,Full-Time,14200,Neto,2,2,No,No recibo bono,No,0,101-200,No,No cambié de empresa,"Clases de idiomas, Masajes, WFH (Trabajar desde casa)"
Hombre,37 - 40,Chaco,2,3,Sí,2,Recruiter,,,,,,,,,,Part-Time,10000,Bruto,3,2,Menos de un sueldo,Performance individual,Uno,20,51-100,No,No cambié de empresa,Ninguna de las anteriores
Hombre,27 - 30,Chaco,9,Menos de un año,No,0,HelpDesk,,,,,,,No,0,Porcentaje de mi sueldo,Tercerizado (trabajo a través de consultora o agencia),10000,Neto,2,2,Menos de un sueldo,Performance individual,No,0,1001+,Sí,Desvinculado ,"Capacitaciones y/o cursos, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc)"
Mujer,37 - 40,Chaco,6,6,No,0,enfermera,,,,,,,,,,Full-Time,11,Bruto,1,1,No,No recibo bono,No,0,1-10,No,No cambié de empresa,Ninguna de las anteriores
Hombre,34 - 36,Chaco,3,3,No,0,Responsable de Sistema,,,,,,,,,,Full-Time,14423,Neto,2,2,No,No recibo bono,Dos,10,1001+,No,No cambié de empresa,"Horarios flexibles, Viáticos"
Hombre,27 - 30,Chaco,3,3,No,0,Developer,,"HTML, Java, Javascript, NodeJS",,,,,"Sí, activa",0,Bruto,Full-Time,17500,Bruto,1,1,No,No recibo bono,No,0,101-200,No,No cambié de empresa,"Capacitaciones y/o cursos, Clases de idiomas, Descuentos en gimnasios, Horarios flexibles, WFH (Trabajar desde casa)"
Hombre,34 - 36,Chaco,9,2,No,0,Developer,,Java,,,,,No,0,Bruto,Full-Time,19800,Neto,2,2,No,No recibo bono,Uno,20,51-100,No,No cambié de empresa,"Capacitaciones y/o cursos, Clases de idiomas, Cuota para universidad, Descuentos en gimnasios, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Masajes, Playroom, Snacks, golosinas, bebidas, Viajes al exterior, Viáticos"
Hombre,34 - 36,Chubut,10+,6,No,0,Developer,,".NET, C#, CSS, HTML, Javascript, jQuery, NodeJS, Python",,,,,No,0,Porcentaje de mi sueldo,Full-Time,58000,Neto,4,3,No,No recibo bono,Uno,10,11-50,No,No cambié de empresa,Ninguna de las anteriores
Hombre,34 - 36,Chubut,10+,6,No,0,Developer,,"HTML, Javascript, jQuery, Python",,,,,No,0,Porcentaje de mi sueldo,Full-Time,45000,Neto,3,3,No,No recibo bono,Uno,10,201-500,No,No cambié de empresa,Vacaciones flexibles (adicionales a las reglamentarias)
Hombre,24 - 26,Chubut,5,Menos de un año,No,0,Developer,,"Java, PLSQL",,,,,No,0,Neto,Part-Time,8000,Neto,3,3,No,No recibo bono,No,0,1-10,No,No cambié de empresa,"Capacitaciones y/o cursos, Horarios flexibles, Playroom, Snacks, golosinas, bebidas, Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,37 - 40,Chubut,10+,10+,No,0,Operador de ensayo,,,,,,,,,,Full-Time,35000,Neto,3,2,Menos de un sueldo,Retroactivo ,Uno,10,51-100,No,No cambié de empresa,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,37 - 40,Chubut,10+,10+,No,0,Operador de ensayo,,,,,,,,,,Full-Time,35000,Neto,3,2,Menos de un sueldo,Retroactivo ,Uno,10,51-100,No,No cambié de empresa,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,41 - 45,Chubut,8,8,No,0,HelpDesk,,,,,,,"Sí, pasiva",0,Neto,Full-Time,42000,Neto,4,4,No,No recibo bono,Dos,10,201-500,No,No cambié de empresa,Ninguna de las anteriores
Hombre,37 - 40,Chubut,10+,5,Sí,12,PM,,,,,,,,,,Part-Time,50000,Bruto,3,3,Menos de un sueldo,Performance individual,Uno,24,51-100,Sí,Desafíos profesionales,"Aumento por inflación, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Hombre,24 - 26,Chubut,Menos de un año,Menos de un año,No,0,Developer,,"Java, Javascript",,,,,No,0,Bruto,Part-Time,5000,Neto,3,2,Menos de un sueldo,Mix de las anteriores,No,0,1-10,No,No cambié de empresa,"Capacitaciones y/o cursos, Horarios flexibles, Playroom, Snacks, golosinas, bebidas"
Mujer,27 - 30,Chubut,4,4,Sí,2,Data Scientist,,,,,,,,,,Full-Time,32000,Neto,3,1,Menos de un sueldo,Mix de las anteriores,Dos,17,201-500,No,No cambié de empresa,"Capacitaciones y/o cursos, Laptop, Vacaciones flexibles (adicionales a las reglamentarias), Viajes al exterior, WFH (Trabajar desde casa)"
Hombre,34 - 36,Chubut,10+,2,Sí,2,HelpDesk,,,,,,,"Sí, pasiva",0,Porcentaje de mi sueldo,Part-Time,10000,Neto,3,3,Un sueldo,Mix de las anteriores,Dos,20,1-10,No,No cambié de empresa,"Abono de celular y/o Internet, Aumento por inflación, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,27 - 30,Chubut,10+,4,Sí,3,SysAdmin / DevOps,"HP-UX, Linux, Windows, VMWare","C++, C#, HTML, Java, PHP",,,,,No,0,Porcentaje de mi sueldo,Full-Time,37500,Bruto,2,1,Un sueldo,Mix de las anteriores,Uno,10,101-200,No,No cambié de empresa,"Abono de celular y/o Internet, Aumento por inflación, Bonos por desempeño, Capacitaciones y/o cursos, Descuentos en gimnasios, Horarios flexibles, Laptop, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Mujer,27 - 30,Chubut,5,2,No,0,Empleado,,,,,,,,,,Full-Time,8000,Neto,1,1,No,No recibo bono,Uno,10,1-10,No,No cambié de empresa,Ninguna de las anteriores
Hombre,37 - 40,Chubut,8,5,Sí,1,HelpDesk,,,,,,,No,0,Porcentaje de mi sueldo,Full-Time,27000,Neto,3,3,No,No recibo bono,Uno,10,501-1000,No,No cambié de empresa,Ninguna de las anteriores
Hombre,Menos de 18 años,Chubut,4,Menos de un año,No,0,Infosec,,,,,,,No,0,Porcentaje de mi sueldo,Freelance,13800,Bruto,1,1,No,No recibo bono,No,0,11-50,Sí,Salario,kcyo
