Soy,Tengo,Argentina,Años de experiencia,Años en el puesto actual,Trabajo de,Gente a cargo?,Cuánta?,Tecnologías que utilizás,Tecnologías que utilizás,Automation o funcional?,Tecnologías que utilizás,Tecnologías que utilizás,Tenés guardias?,Cuánto cobrás por guardia (en tu moneda local),"Porcentaje, bruto o neto?",Tipo de contrato,Salario mensual (en tu moneda local),Bruto o neto?,Qué tan conforme estás con tu sueldo?,Cómo creés que está tu sueldo con respecto a Julio 2016,Recibís algún tipo de bono,A qué está atado el bono,Tuviste ajustes por inflación en 2016?,De qué % fue el ajuste?,Cantidad de empleados,Cambiaste de empresa en los últimos 6 meses?,Cuál fue el principal motivo de cambio?,Beneficios extra
Hombre,41 - 45,Chaco,10+,10+,Developer,Sí,6,Windows,,,,,"Sí, pasiva",40,Bruto,Full-Time,22000,Neto,2,2,No,No recibo bono,Uno,10,1001+,No,No cambié de empresa,Ninguna de las anteriores
Hombre,27 - 30,Chaco,8,4,Developer,No,0,"Linux, Windows, Docker / Containers, OpenStack",,,,,No,0,Porcentaje de mi sueldo,Full-Time,27000,Bruto,3,1,No,No recibo bono,No,0,1001+,No,No cambié de empresa,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Laptop, Masajes, Playroom, Vacaciones flexibles (adicionales a las reglamentarias), Viajes al exterior, Viáticos, WFH (Trabajar desde casa)"
Mujer,34 - 36,Chaco,6,5,Developer,No,0,. Net,,,,,"Sí, pasiva",0,Bruto,Full-Time,30000,Neto,3,3,Un sueldo,Mix de las anteriores,Dos,20,201-500,No,No cambié de empresa,"Aumento por inflación, Bonos por desempeño, Capacitaciones y/o cursos, Viáticos"
Hombre,31 - 33,Chaco,10+,3,Developer,Sí,5,"Linux, Docker / Containers",,,,,No,0,Porcentaje de mi sueldo,Full-Time,31000,Bruto,2,2,No,No recibo bono,Uno,25,1001+,No,No cambié de empresa,"Capacitaciones y/o cursos, Clases de idiomas, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Horarios flexibles, Laptop, Masajes, Viajes al exterior, Viáticos, WFH (Trabajar desde casa)"
Hombre,24 - 26,Chaco,5,1,Developer,Sí,3,"Linux, Amazon Web Services",,,,,No,0,Porcentaje de mi sueldo,Full-Time,70000,Neto,3,3,Menos de un sueldo,Performance individual,Uno,10,11-50,No,No cambié de empresa,"Bonos por desempeño, Capacitaciones y/o cursos, Comidas pagas/subvencionadas, Horarios flexibles, Masajes, Viajes al exterior, Viáticos, WFH (Trabajar desde casa)"
Mujer,41 - 45,Chaco,10+,10+,Empresa privada,No,0,Ninguno de esos,,,,,No,0,Bruto,Full-Time,20000,Bruto,1,2,No,No recibo bono,Uno,10,1001+,No,No cambié de empresa,Ninguna de las anteriores
Hombre,27 - 30,Chaco,4,4,Encargado,Sí,2,Windows,,,,,No,0,Porcentaje de mi sueldo,Full-Time,13000,Bruto,3,2,Menos de un sueldo,Performance grupal,Uno,15,1-10,No,No cambié de empresa,Ninguna de las anteriores
Hombre,27 - 30,Chaco,10+,4,HelpDesk,No,0,"*BSD, HP-UX, Linux, Windows, OpenStack, VMWare",,,,,"Sí, activa",1200,Bruto,Full-Time,13000,Neto,2,1,No,No recibo bono,Dos,27,501-1000,No,No cambié de empresa,Ninguna de las anteriores
Mujer,27 - 30,Chaco,10+,1,IT Bussines Partner,No,0,"Windows, VMWare",,,,,"Sí, pasiva",420,Bruto,Full-Time,15600,Bruto,2,3,Menos de un sueldo,Performance individual,Más de dos,30,1001+,No,No cambié de empresa,"Abono de celular y/o Internet, Aumento por inflación, Capacitaciones y/o cursos, Comidas pagas/subvencionadas, Descuentos en gimnasios, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Horarios flexibles, Laptop, Vacaciones flexibles (adicionales a las reglamentarias), Viáticos, WFH (Trabajar desde casa)"
Hombre,27 - 30,Chaco,10+,Menos de un año,IT Manager,Sí,3,"Linux, Windows, Azure, VMWare",,,,,"Sí, pasiva",0,Bruto,Full-Time,25000,Neto,2,2,No,No recibo bono,No,0,201-500,Sí,Salario,"Abono de celular y/o Internet, Comidas pagas/subvencionadas, Laptop"
Mujer,21 - 23,Chaco,2,1,Networking,No,0,Windows,,,,,No,0,Bruto,Part-Time,3000,Neto,2,2,No,No recibo bono,No,0,1-10,No,No cambié de empresa,Ninguna de las anteriores
