Timestamp,Tengo,Trabajo en,Años de experiencia,Años en el puesto actual,Trabajo de,Tecnologías que utilizás,Tecnologías que utilizás,Tecnologías que utilizás,Tenés guardias ?,Cuánto te pagan por guardia (AR$),Salario bruto mensual (AR$),Cómo creés que está tu sueldo,Beneficios
11/25/2014 17:13:38,35 - 40,Buenos Aires,10+,4 -6,SysAdmin,"*BSD, Linux, Windows, """"""Cloud""""""",,,"Sí, pasiva",0,25000,3,"Abono de celular y/o Internet, Horarios flexibles, Laptop"
11/25/2014 17:25:18,35 - 40,Ciudad Autónoma de Buenos Aires,10+,6 - 10,SysAdmin,"AIX, HP-UX, Linux, Solaris",,,"Sí, pasiva",311,15588,1,"Laptop, WFH (Trabajar desde casa)"
11/25/2014 17:27:44,30 - 33,Ciudad Autónoma de Buenos Aires,10+,2 - 4,SysAdmin,"Linux, Windows, """"""Cloud""""""",,,No,,17000,3,"Abono de celular y/o Internet, Capacitaciones y/o cursos"
11/25/2014 17:30:44,30 - 33,Santa Fe,7 - 10,1 - 2,DBA,,,"MSSQL, Oracle",No,,21000,4,"Capacitaciones y/o cursos, Comidas pagas/subvencionadas, Snacks, golosinas, bebidas, etc, Horarios flexibles, Laptop, WFH (Trabajar desde casa)"
11/25/2014 17:53:34,23 - 25,Buenos Aires,1 - 3,Menos de un año,SysAdmin,"Linux, Windows, """"""Cloud""""""",,,"Sí, pasiva",400,8000,3,Horarios flexibles
11/25/2014 17:54:52,45 - 50,Buenos Aires,10+,10+,SysAdmin,Linux,,,"Sí, pasiva",0,39000,3,Nada
11/25/2014 17:57:47,40 - 45,Ciudad Autónoma de Buenos Aires,10+,2 - 4,Otro,,,,"Sí, pasiva",,23000,3,"Horarios flexibles, Laptop"
11/25/2014 17:59:22,23 - 25,Santa Fe,5 - 7,1 - 2,Developer,,"CSS, HTML, jQuery, PHP, Python",,No,,22000,3,"Comidas pagas/subvencionadas, Snacks, golosinas, bebidas, etc"
11/25/2014 18:00:37,25 - 27,Buenos Aires,1 - 3,1 - 2,HelpDesk,,,,No,,3500,2,Horarios flexibles
11/25/2014 18:00:56,27 - 30,Ciudad Autónoma de Buenos Aires,10+,2 - 4,SysAdmin,"*BSD, Linux, Windows, """"""Cloud""""""",,,"Sí, activa",,20000,1,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Horarios flexibles, Laptop, WFH (Trabajar desde casa)"
11/25/2014 18:04:09,40 - 45,Buenos Aires,10+,1 - 2,Otro,,,,"Sí, pasiva",0,24950,3,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Horarios flexibles, Laptop, WFH (Trabajar desde casa)"
11/25/2014 18:34:58,27 - 30,Ciudad Autónoma de Buenos Aires,5 - 7,6 - 10,HelpDesk,,,,No,,8100,3,Ninguna de las anteriores
11/25/2014 18:49:23,23 - 25,Buenos Aires,1 - 3,Menos de un año,DevOps,*BSD,,,"Sí, activa",1000,20000,4,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Clases de idiomas, Laptop, Stock options, WFH (Trabajar desde casa)"
11/25/2014 18:59:06,25 - 27,Río Negro,3 - 5,1 - 2,QA / Tester,,,,No,,14000,3,"Capacitaciones y/o cursos, Clases de idiomas, Viajes"
11/25/2014 19:01:53,27 - 30,Ciudad Autónoma de Buenos Aires,7 - 10,2 - 4,SysAdmin,"Linux, Windows, """"""Cloud""""""",,,No,,18000,3,"Capacitaciones y/o cursos, Horarios flexibles, Laptop, Viajes, WFH (Trabajar desde casa)"
11/25/2014 19:09:50,45 - 50,Ciudad Autónoma de Buenos Aires,10+,4 -6,SysAdmin,"Linux, Windows",,,"Sí, pasiva",0,12500,2,"Abono de celular y/o Internet, WFH (Trabajar desde casa)"
11/25/2014 19:16:26,35 - 40,Ciudad Autónoma de Buenos Aires,10+,Menos de un año,Otro,,,,"Sí, activa",2,3,4,Capacitaciones y/o cursos
11/25/2014 19:20:06,30 - 33,Ciudad Autónoma de Buenos Aires,7 - 10,2 - 4,DevOps,"Linux, """"""Cloud""""""",,,No,0,40000,3,"Capacitaciones y/o cursos, Comidas pagas/subvencionadas, Snacks, golosinas, bebidas, etc, Horarios flexibles, Laptop, Playroom, Viajes, WFH (Trabajar desde casa)"
11/25/2014 19:25:48,27 - 30,Buenos Aires,10+,4 -6,SysAdmin,"*BSD, Linux, Windows, """"""Cloud"""""", Cisco, SCADA",,,"Sí, pasiva",300,19400,4,"Capacitaciones y/o cursos, Comidas pagas/subvencionadas, Laptop"
11/25/2014 19:26:00,30 - 33,Formosa,7 - 10,4 -6,Developer,,"CSS, HTML, jQuery, PHP, Python",,"Sí, pasiva",750,11000,3,"Comidas pagas/subvencionadas, Horarios flexibles"
11/25/2014 19:26:51,40 - 45,Buenos Aires,10+,6 - 10,SysAdmin,"Windows, VMware",,,No,,13500,1,"Capacitaciones y/o cursos, Horarios flexibles, Laptop, WFH (Trabajar desde casa)"
11/25/2014 19:32:12,25 - 27,Ciudad Autónoma de Buenos Aires,3 - 5,1 - 2,DevOps,"Linux, """"""Cloud""""""",,,No,,30000,4,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Snacks, golosinas, bebidas, etc, Horarios flexibles, Laptop, Playroom, Viajes, WFH (Trabajar desde casa)"
11/25/2014 19:52:21,27 - 30,Ciudad Autónoma de Buenos Aires,5 - 7,2 - 4,SysAdmin,"Linux, Windows, """"""Cloud""""""",,,No,,25000,4,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Snacks, golosinas, bebidas, etc, Horarios flexibles"
11/25/2014 20:01:11,33 - 35,Ciudad Autónoma de Buenos Aires,10+,Menos de un año,SysAdmin,"Linux, Solaris, Windows, """"""Cloud""""""",,,No,,15640,3,"Clases de idiomas, Comidas pagas/subvencionadas, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Snacks, golosinas, bebidas, etc, Laptop, Playroom"
11/25/2014 20:04:26,27 - 30,Ciudad Autónoma de Buenos Aires,5 - 7,1 - 2,QA / Tester,,,,No,,10000,3,Ninguna de las anteriores
11/25/2014 20:14:17,27 - 30,Ciudad Autónoma de Buenos Aires,1 - 3,4 -6,Developer,,"CSS, HTML, Java, jQuery, Ruby",,No,,14000,3,Horarios flexibles
11/25/2014 20:27:40,23 - 25,Ciudad Autónoma de Buenos Aires,1 - 3,1 - 2,SysAdmin,"Linux, Windows",,,No,,8100,4,"Clases de idiomas, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Snacks, golosinas, bebidas, etc, Horarios flexibles"
11/25/2014 20:55:08,33 - 35,Ciudad Autónoma de Buenos Aires,7 - 10,1 - 2,DevOps,"Linux, """"""Cloud""""""",,,"Sí, activa",0,28000,4,"Clases de idiomas, Snacks, golosinas, bebidas, etc, Horarios flexibles, Laptop"
11/25/2014 20:56:45,35 - 40,Ciudad Autónoma de Buenos Aires,10+,Menos de un año,Developer,,"CSS, HTML, jQuery, NodeJS, PHP",,No,,20000,5,Ninguna de las anteriores
11/25/2014 20:59:45,25 - 27,Ciudad Autónoma de Buenos Aires,3 - 5,2 - 4,Otro,,,,No,,7400,3,Abono de celular y/o Internet
11/25/2014 21:03:53,35 - 40,Ciudad Autónoma de Buenos Aires,10+,6 - 10,SysAdmin,"Linux, Windows, """"""Cloud"""""", VMware",,,"Sí, pasiva",600,21000,4,Ninguna de las anteriores
11/25/2014 21:19:09,23 - 25,Santa Fe,7 - 10,1 - 2,Networking,,,,"Sí, pasiva",120,11250,1,Ninguna de las anteriores
11/25/2014 21:35:11,35 - 40,Ciudad Autónoma de Buenos Aires,10+,2 - 4,PM,,,,No,,11.7,3,"Abono de celular y/o Internet, Laptop"
11/25/2014 21:38:54,30 - 33,Ciudad Autónoma de Buenos Aires,5 - 7,Menos de un año,SysAdmin,"Linux, Windows, """"""Cloud""""""",,,"Sí, pasiva",0,17000,3,"Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Horarios flexibles, Laptop, WFH (Trabajar desde casa), Agua, café y mate"
11/25/2014 21:58:14,27 - 30,Ciudad Autónoma de Buenos Aires,7 - 10,2 - 4,Networking,,,,No,,15000,2,WFH (Trabajar desde casa)
11/25/2014 21:58:30,30 - 33,Ciudad Autónoma de Buenos Aires,10+,2 - 4,Infosec,,,,No,,21800,3,"Capacitaciones y/o cursos, Horarios flexibles, Laptop, Playroom, WFH (Trabajar desde casa)"
11/25/2014 22:02:24,27 - 30,Ciudad Autónoma de Buenos Aires,7 - 10,4 -6,SysAdmin,Linux,,,"Sí, pasiva",750,18300,4,Comidas pagas/subvencionadas
11/25/2014 22:13:53,35 - 40,Buenos Aires,10+,6 - 10,SysAdmin,"AIX, Linux, Solaris",,,"Sí, pasiva",,1,3,"Abono de celular y/o Internet, WFH (Trabajar desde casa)"
11/25/2014 22:17:58,33 - 35,Buenos Aires,7 - 10,2 - 4,SysAdmin,Linux,,,"Sí, pasiva",800,14000,2,"Horarios flexibles, Laptop, WFH (Trabajar desde casa)"
11/25/2014 22:21:00,25 - 27,La Pampa,1 - 3,1 - 2,SysAdmin,"Linux, Windows, """"""Cloud""""""",,,No,,7000,3,WFH (Trabajar desde casa)
11/25/2014 22:21:45,33 - 35,Mendoza,7 - 10,2 - 4,DevOps,"Linux, """"""Cloud""""""",,,No,,52000,5,"Horarios flexibles, WFH (Trabajar desde casa)"
11/25/2014 22:21:49,45 - 50,Ciudad Autónoma de Buenos Aires,10+,Menos de un año,HelpDesk,,,,No,,14000,4,"Laptop, WFH (Trabajar desde casa)"
11/25/2014 22:35:37,25 - 27,Buenos Aires,1 - 3,Menos de un año,Developer,,"Java, Android",,No,,7000,2,"Clases de idiomas, Horarios flexibles, Laptop, WFH (Trabajar desde casa)"
11/25/2014 22:36:27,30 - 33,Ciudad Autónoma de Buenos Aires,10+,6 - 10,SysAdmin,"AIX, Linux, Solaris",,,No,,24000,3,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Laptop, Playroom, Stock options, WFH (Trabajar desde casa)"
11/25/2014 22:45:18,27 - 30,Buenos Aires,1 - 3,Menos de un año,Otro,,,,No,,9500,3,"Capacitaciones y/o cursos, Snacks, golosinas, bebidas, etc"
11/25/2014 22:54:38,27 - 30,Ciudad Autónoma de Buenos Aires,3 - 5,Menos de un año,Infosec,,,,No,,17000,3,"Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Snacks, golosinas, bebidas, etc, WFH (Trabajar desde casa)"
11/25/2014 22:57:21,33 - 35,Buenos Aires,10+,10+,SysAdmin,"AIX, Linux, Windows",,,"Sí, activa",800,13000,3,"Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Horarios flexibles"
11/25/2014 22:57:36,27 - 30,Ciudad Autónoma de Buenos Aires,10+,2 - 4,SysAdmin,"AIX, Linux, Solaris, Windows",,,"Sí, pasiva",0,7500,3,"Snacks, golosinas, bebidas, etc, Horarios flexibles, Laptop, WFH (Trabajar desde casa)"
11/25/2014 23:13:35,30 - 33,Buenos Aires,5 - 7,2 - 4,Designer,,,,No,,9200,1,"Capacitaciones y/o cursos, WFH (Trabajar desde casa)"
11/25/2014 23:15:29,35 - 40,Ciudad Autónoma de Buenos Aires,10+,6 - 10,SysAdmin,"*BSD, Linux, Windows, """"""Cloud""""""",,,"Sí, pasiva",1000,25000,3,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Laptop"
11/25/2014 23:16:41,25 - 27,Ciudad Autónoma de Buenos Aires,3 - 5,Menos de un año,DevOps,"Linux, """"""Cloud""""""",,,No,,12500,3,"Snacks, golosinas, bebidas, etc, Laptop"
11/25/2014 23:31:26,23 - 25,Buenos Aires,1 - 3,Menos de un año,Otro,,,,No,,7000,3,Ninguna de las anteriores
11/25/2014 23:52:14,27 - 30,Ciudad Autónoma de Buenos Aires,3 - 5,4 -6,SysAdmin,"*BSD, AIX, HP-UX, Linux, Solaris, Cisco, HP (3Com), Allied Telessis",,,No,,21500,4,"Abono de celular y/o Internet, Horarios flexibles, Laptop, Viajes"
11/25/2014 23:54:25,35 - 40,Chaco,10+,10+,Developer,,"Python, clarion",,"Sí, activa",,20000,1,Ninguna de las anteriores
11/25/2014 23:54:49,25 - 27,Ciudad Autónoma de Buenos Aires,3 - 5,2 - 4,Developer,,Java,,No,,17000,3,Ninguna de las anteriores
11/26/2014 0:07:00,30 - 33,Tucumán,5 - 7,1 - 2,Developer,,"HTML, jQuery, NodeJS, PHP, Python, Ruby",,No,,10000,2,"Clases de idiomas, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Horarios flexibles, Playroom, WFH (Trabajar desde casa)"
11/26/2014 0:12:26,30 - 33,Ciudad Autónoma de Buenos Aires,5 - 7,Menos de un año,Otro,,,,No,,13500,3,"Snacks, golosinas, bebidas, etc, Horarios flexibles, Viajes, WFH (Trabajar desde casa)"
11/26/2014 0:23:05,30 - 33,Buenos Aires,7 - 10,2 - 4,Developer,,Natural Adabas,,No,,25000,4,Ninguna de las anteriores
11/26/2014 0:26:36,27 - 30,Buenos Aires,Menos de un año,6 - 10,Networking,,,,"Sí, pasiva",700,13000,4,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Horarios flexibles"
11/26/2014 0:26:47,25 - 27,Ciudad Autónoma de Buenos Aires,5 - 7,2 - 4,Networking,,,,"Sí, activa",600,14000,3,"Abono de celular y/o Internet, Clases de idiomas, Comidas pagas/subvencionadas, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Snacks, golosinas, bebidas, etc, Horarios flexibles, Laptop, Viajes"
11/26/2014 0:28:17,33 - 35,Chubut,10+,2 - 4,Otro,,,,No,,8000,2,"Horarios flexibles, WFH (Trabajar desde casa)"
11/26/2014 0:50:43,27 - 30,Ciudad Autónoma de Buenos Aires,7 - 10,1 - 2,SysAdmin,"Linux, Solaris, Windows, """"""Cloud""""""",,,No,,15300,3,Ninguna de las anteriores
11/26/2014 0:52:06,50+,Ciudad Autónoma de Buenos Aires,1 - 3,6 - 10,Networking,,,,No,,9000000,2,Horarios flexibles
11/26/2014 0:54:00,35 - 40,Ciudad Autónoma de Buenos Aires,5 - 7,Menos de un año,Otro,,,,No,,13000,3,Ninguna de las anteriores
11/26/2014 1:23:19,27 - 30,Ciudad Autónoma de Buenos Aires,5 - 7,1 - 2,DevOps,"Linux, """"""Cloud""""""",,,No,,14000,4,"Snacks, golosinas, bebidas, etc, Laptop"
11/26/2014 1:33:34,33 - 35,Ciudad Autónoma de Buenos Aires,7 - 10,2 - 4,Networking,,,,"Sí, pasiva",0,10000,3,"Horarios flexibles, Laptop"
11/26/2014 1:38:56,35 - 40,Entre Ríos,7 - 10,Menos de un año,DevOps,"*BSD, Linux, """"""Cloud""""""",,,No,,17160,3,"WFH (Trabajar desde casa), cobro en divisa norteamericana"
11/26/2014 1:51:30,30 - 33,Buenos Aires,5 - 7,4 -6,Developer,,"C#, HTML, PHP",,No,,10000,2,Ninguna de las anteriores
11/26/2014 2:05:43,23 - 25,Mendoza,Menos de un año,Menos de un año,Otro,,,,No,,10000,4,Horarios flexibles
11/26/2014 2:17:44,30 - 33,Ciudad Autónoma de Buenos Aires,10+,Menos de un año,SysAdmin,"Linux, """"""Cloud""""""",,,"Sí, pasiva",0,33000,5,"Abono de celular y/o Internet, Horarios flexibles, Stock options"
11/26/2014 2:32:21,27 - 30,Ciudad Autónoma de Buenos Aires,5 - 7,2 - 4,SysAdmin,"Linux, Windows, """"""Cloud""""""",,,"Sí, pasiva",200,21000,4,"Capacitaciones y/o cursos, Snacks, golosinas, bebidas, etc, Laptop, Viajes, WFH (Trabajar desde casa)"
11/26/2014 6:44:48,35 - 40,Ciudad Autónoma de Buenos Aires,10+,10+,SysAdmin,"Linux, Windows",,,No,,25800,3,Horarios flexibles
11/26/2014 6:47:09,20 - 23,Ciudad Autónoma de Buenos Aires,3 - 5,Menos de un año,SysAdmin,"Linux, """"""Cloud""""""",,,"Sí, pasiva",0,13000,3,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Horarios flexibles, Laptop, WFH (Trabajar desde casa)"
11/26/2014 7:05:52,30 - 33,Buenos Aires,10+,1 - 2,Developer,,Java,,No,,45000,5,"Abono de celular y/o Internet, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Snacks, golosinas, bebidas, etc"
11/26/2014 7:09:34,30 - 33,Ciudad Autónoma de Buenos Aires,7 - 10,4 -6,SysAdmin,"*BSD, Linux, Solaris, Windows, """"""Cloud""""""",,,"Sí, pasiva",,18200,4,"Abono de celular y/o Internet, Snacks, golosinas, bebidas, etc, Horarios flexibles, Laptop, Playroom, Viajes"
11/26/2014 7:12:52,18 - 20,Buenos Aires,5 - 7,1 - 2,Developer,,"HTML, jQuery, PHP",,No,,9000,3,Ninguna de las anteriores
11/26/2014 7:14:06,35 - 40,Neuquén,10+,10+,SysAdmin,Linux,,,No,,14000,2,Ninguna de las anteriores
11/26/2014 7:40:07,23 - 25,Buenos Aires,1 - 3,1 - 2,Developer,,"CSS, HTML, jQuery, PHP",,No,,7000,3,Ninguna de las anteriores
11/26/2014 7:42:21,27 - 30,Buenos Aires,7 - 10,2 - 4,SysAdmin,"AIX, HP-UX, Linux, Solaris",,,"Sí, pasiva",300,9630,1,"Snacks, golosinas, bebidas, etc, Horarios flexibles, Laptop, Playroom, WFH (Trabajar desde casa)"
11/26/2014 8:05:35,20 - 23,Santa Fe,1 - 3,1 - 2,HelpDesk,,,,No,,8200,2,"Abono de celular y/o Internet, Capacitaciones y/o cursos"
11/26/2014 8:41:02,25 - 27,Buenos Aires,1 - 3,1 - 2,Developer,,Java,,No,,10500,3,Ninguna de las anteriores
11/26/2014 8:44:47,35 - 40,Buenos Aires,10+,6 - 10,Developer,,Delphi,,No,0,12000,3,Horarios flexibles
11/26/2014 9:05:13,25 - 27,Mendoza,7 - 10,1 - 2,SysAdmin,"Linux, Windows, """"""Cloud""""""",,,"Sí, pasiva",0,8000,3,Ninguna de las anteriores
11/26/2014 9:05:55,27 - 30,Mendoza,7 - 10,4 -6,SysAdmin,"Linux, Windows",,,No,,8000,1,"Capacitaciones y/o cursos, Horarios flexibles, WFH (Trabajar desde casa)"
11/26/2014 9:06:46,27 - 30,Buenos Aires,5 - 7,1 - 2,SysAdmin,"Linux, Windows",,,No,,10900,3,"Abono de celular y/o Internet, Ninguna de las anteriores"
11/26/2014 9:10:36,27 - 30,Ciudad Autónoma de Buenos Aires,7 - 10,4 -6,SysAdmin,"AIX, HP-UX, Linux",,,"Sí, activa",2601,10000,1,"Laptop, WFH (Trabajar desde casa)"
11/26/2014 9:16:07,35 - 40,Ciudad Autónoma de Buenos Aires,10+,6 - 10,SysAdmin,"Windows, """"""Cloud"""""", vmware",,,No,,16000,3,"Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Horarios flexibles, Laptop, WFH (Trabajar desde casa)"
11/26/2014 9:16:55,33 - 35,Ciudad Autónoma de Buenos Aires,5 - 7,4 -6,SysAdmin,Linux,,,"Sí, pasiva",0,20000,3,Laptop
11/26/2014 9:20:41,30 - 33,Buenos Aires,5 - 7,2 - 4,Developer,,"CSS, HTML, Java, PHP",,"Sí, activa",1000,11000,1,"Clases de idiomas, Snacks, golosinas, bebidas, etc"
11/26/2014 9:25:30,30 - 33,Ciudad Autónoma de Buenos Aires,7 - 10,Menos de un año,Otro,,,,No,,7000,1,"Capacitaciones y/o cursos, Horarios flexibles, Laptop, WFH (Trabajar desde casa), cobertura medica"
11/26/2014 9:28:40,27 - 30,Buenos Aires,3 - 5,2 - 4,QA / Tester,,,,No,,7400,1,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, WFH (Trabajar desde casa)"
11/26/2014 9:41:56,35 - 40,Mendoza,10+,10+,SysAdmin,"Linux, """"""Cloud"""""", cisco",,,No,,20000,3,Ninguna de las anteriores
11/26/2014 9:46:43,30 - 33,Ciudad Autónoma de Buenos Aires,5 - 7,1 - 2,Developer,,"C, Java, Objective-C",,"Sí, pasiva",0,26500,3,"Clases de idiomas, Comidas pagas/subvencionadas, Snacks, golosinas, bebidas, etc, Horarios flexibles, Laptop, WFH (Trabajar desde casa)"
11/26/2014 9:46:56,33 - 35,Ciudad Autónoma de Buenos Aires,10+,4 -6,SysAdmin,"Linux, Windows",,,No,,17500,4,Horarios flexibles
11/26/2014 9:48:31,33 - 35,Buenos Aires,10+,1 - 2,SysAdmin,"Linux, Windows",,,"Sí, pasiva",,12000,3,Ninguna de las anteriores
11/26/2014 10:05:43,23 - 25,Ciudad Autónoma de Buenos Aires,5 - 7,1 - 2,SysAdmin,"Linux, Cisco",,,"Sí, activa",0,23500,4,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Laptop, Viajes, WFH (Trabajar desde casa)"
11/26/2014 10:07:36,35 - 40,Ciudad Autónoma de Buenos Aires,10+,4 -6,SysAdmin,"Linux, """"""Cloud""""""",,,"Sí, pasiva",600,24000,4,"Abono de celular y/o Internet, Laptop, WFH (Trabajar desde casa)"
11/26/2014 10:10:19,30 - 33,Buenos Aires,10+,4 -6,SysAdmin,"*BSD, Linux, Solaris, Windows",,,No,,11000,1,"Abono de celular y/o Internet, Laptop"
11/26/2014 10:10:40,33 - 35,Ciudad Autónoma de Buenos Aires,10+,Menos de un año,DevOps,"Linux, """"""Cloud""""""",,,No,,23000,3,"Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Horarios flexibles, Laptop, Playroom, WFH (Trabajar desde casa)"
11/26/2014 10:14:15,27 - 30,Ciudad Autónoma de Buenos Aires,3 - 5,Menos de un año,SysAdmin,"*BSD, Linux, Windows",,,No,,9638,2,Horarios flexibles
11/26/2014 10:29:33,30 - 33,Mendoza,5 - 7,4 -6,SysAdmin,"Linux, """"""Cloud"""""", networking",,,"Sí, pasiva",,12000,4,"Abono de celular y/o Internet, Horarios flexibles"
11/26/2014 11:25:36,30 - 33,Santa Fe,7 - 10,Menos de un año,Infosec,,,,No,,6000,2,Capacitaciones y/o cursos
11/26/2014 11:39:37,27 - 30,Buenos Aires,5 - 7,1 - 2,Developer,,"CSS, HTML, Java, jQuery, PHP",,No,,7500,2,"Clases de idiomas, Horarios flexibles"
11/26/2014 11:39:47,25 - 27,Buenos Aires,1 - 3,Menos de un año,Developer,,".NET, C#, CSS, HTML, jQuery",,No,,13800,3,"Capacitaciones y/o cursos, Clases de idiomas, Snacks, golosinas, bebidas, etc, Horarios flexibles, WFH (Trabajar desde casa)"
11/26/2014 11:47:46,35 - 40,Santa Fe,10+,1 - 2,SysAdmin,Linux,,,"Sí, pasiva",0,6500,2,"Horarios flexibles, Ninguna de las anteriores, uso mi laptop"
11/26/2014 11:48:35,20 - 23,Santa Fe,1 - 3,1 - 2,SysAdmin,"Linux, Windows",,,No,0,4500,2,"Capacitaciones y/o cursos, Horarios flexibles"
11/26/2014 12:21:27,35 - 40,Ciudad Autónoma de Buenos Aires,10+,6 - 10,SysAdmin,"Linux, Windows",,,"Sí, pasiva",3050,19400,3,"Horarios flexibles, WFH (Trabajar desde casa), olor desagradable cuando soporte tecnico almuerza o se encuentra en la oficina"
11/26/2014 12:24:35,27 - 30,Buenos Aires,1 - 3,2 - 4,Developer,,"CSS, HTML, jQuery, asp, sql server, javascript",,No,,13778,3,Ninguna de las anteriores
11/26/2014 12:35:07,27 - 30,Ciudad Autónoma de Buenos Aires,5 - 7,1 - 2,DevOps,"Linux, Windows, """"""Cloud""""""",,,"Sí, activa",,23000,3,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Clases de idiomas, Snacks, golosinas, bebidas, etc, Horarios flexibles, Laptop, Viajes, WFH (Trabajar desde casa)"
11/26/2014 12:39:17,20 - 23,Buenos Aires,3 - 5,Menos de un año,Developer,,Java,,No,,8000,2,Ninguna de las anteriores
11/26/2014 13:17:22,25 - 27,Mendoza,3 - 5,1 - 2,Designer,,,,No,,8000,2,"Capacitaciones y/o cursos, Laptop"
11/26/2014 13:38:39,33 - 35,Ciudad Autónoma de Buenos Aires,10+,Menos de un año,DevOps,"Linux, """"""Cloud""""""",,,"Sí, pasiva",0,22500,4,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Horarios flexibles, Laptop, Playroom, Stock options, Viajes, WFH (Trabajar desde casa), OSDE para grupo familiar"
11/26/2014 13:56:56,25 - 27,Buenos Aires,3 - 5,2 - 4,Developer,,"CSS, HTML, Java",,No,,11000,2,"Snacks, golosinas, bebidas, etc, Horarios flexibles"
11/26/2014 14:31:34,25 - 27,Ciudad Autónoma de Buenos Aires,7 - 10,4 -6,Otro,,,,No,0,10500,3,"Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Horarios flexibles, Laptop"
11/26/2014 14:45:41,25 - 27,Ciudad Autónoma de Buenos Aires,7 - 10,1 - 2,Otro,,,,No,,13000,3,"Clases de idiomas, Snacks, golosinas, bebidas, etc, Horarios flexibles"
11/26/2014 14:49:41,35 - 40,Ciudad Autónoma de Buenos Aires,10+,2 - 4,SysAdmin,"*BSD, Linux, Solaris, """"""Cloud""""""",,,No,,14000,2,"Horarios flexibles, Me rasco mucho, me paso el dia en FB y YT."
11/26/2014 15:18:38,30 - 33,Ciudad Autónoma de Buenos Aires,5 - 7,4 -6,SysAdmin,"Linux, Windows",,,No,,16156,3,Capacitaciones y/o cursos
11/26/2014 15:19:56,30 - 33,Ciudad Autónoma de Buenos Aires,5 - 7,4 -6,SysAdmin,"AIX, HP-UX, Linux, Solaris, vmware",,,"Sí, pasiva",10000,20000,2,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Clases de idiomas, Laptop"
11/26/2014 15:22:49,25 - 27,Ciudad Autónoma de Buenos Aires,3 - 5,Menos de un año,Developer,,"HTML, jQuery, PHP",,No,,13000,4,"Clases de idiomas, Laptop"
11/26/2014 15:23:14,30 - 33,Ciudad Autónoma de Buenos Aires,7 - 10,Menos de un año,Developer,,"jQuery, NodeJS",,No,,11000,1,"Horarios flexibles, WFH (Trabajar desde casa)"
11/26/2014 15:24:27,27 - 30,Ciudad Autónoma de Buenos Aires,7 - 10,4 -6,Developer,,"jQuery, PHP",,No,,22000,4,"Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Snacks, golosinas, bebidas, etc, Horarios flexibles, Laptop, Playroom, WFH (Trabajar desde casa)"
11/26/2014 15:24:52,35 - 40,Ciudad Autónoma de Buenos Aires,5 - 7,2 - 4,Developer,,"CSS, HTML, Java, jQuery",,"Sí, pasiva",0,9500,3,"Abono de celular y/o Internet, WFH (Trabajar desde casa)"
11/26/2014 15:25:48,35 - 40,Ciudad Autónoma de Buenos Aires,10+,4 -6,Developer,,"CSS, HTML, jQuery, PHP",,No,,19000,4,"Snacks, golosinas, bebidas, etc, Playroom"
11/26/2014 15:25:53,30 - 33,Ciudad Autónoma de Buenos Aires,3 - 5,Menos de un año,Developer,,"Java, PHP, Android (sé que no es un lenguaje, pero si entra O-C, entra Android)",,No,,8800,3,"Capacitaciones y/o cursos, Clases de idiomas, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Snacks, golosinas, bebidas, etc, Horarios flexibles, WFH (Trabajar desde casa)"
11/26/2014 15:30:22,35 - 40,Ciudad Autónoma de Buenos Aires,5 - 7,4 -6,Developer,,"CSS, HTML, Java, jQuery",,"Sí, pasiva",,11500,3,"Abono de celular y/o Internet, Horarios flexibles, WFH (Trabajar desde casa)"
