Timestamp,Tengo,Trabajo en,Años de experiencia,Años en el puesto actual,Trabajo de,Tecnologías que utilizás,Tecnologías que utilizás,Tecnologías que utilizás,Tenés guardias ?,Cuánto te pagan por guardia (AR$),Salario bruto mensual (AR$),Cómo creés que está tu sueldo,Beneficios
11/25/2014 13:40:32,27 - 30,Buenos Aires,3 - 5,Menos de un año,PM,,,,No,,18000,3,"Capacitaciones y/o cursos, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc)"
11/25/2014 13:40:46,35 - 40,Neuquén,10+,10+,SysAdmin,Linux,,,No,,22000,4,Ninguna de las anteriores
11/25/2014 13:40:58,27 - 30,Ciudad Autónoma de Buenos Aires,5 - 7,2 - 4,Otro,,,,No,1,18373,3,"Comidas pagas/subvencionadas, Horarios flexibles"
11/25/2014 13:41:28,27 - 30,Ciudad Autónoma de Buenos Aires,7 - 10,2 - 4,DevOps,"Linux, """"""Cloud""""""",,,No,,23000,3,"Capacitaciones y/o cursos, Horarios flexibles, Laptop, Viajes, WFH (Trabajar desde casa)"
11/25/2014 13:41:39,25 - 27,Ciudad Autónoma de Buenos Aires,3 - 5,2 - 4,DBA,,,"Oracle, PostgreSQL","Sí, pasiva",0,15000,3,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Clases de idiomas, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Horarios flexibles, Laptop, Viajes"
11/25/2014 13:42:59,27 - 30,Mendoza,3 - 5,2 - 4,Developer,,"C, C++, CSS, jQuery, NodeJS, PHP, Python",,No,,5370,2,Ninguna de las anteriores
11/25/2014 13:44:25,33 - 35,Río Negro,3 - 5,1 - 2,QA / Tester,,,,No,,14000,3,"Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Horarios flexibles, 1 semana libre por año (vacaciones + una semana); paga pre-paga plan oro; transporte desde mi casa al trabajo y del trabajo a mi casa; bono anual para todos a partir de las ganancias de la empresa; "
11/25/2014 13:44:34,35 - 40,Ciudad Autónoma de Buenos Aires,10+,6 - 10,SysAdmin,"AIX, Linux, Windows",,,"Sí, pasiva",0,15500,3,"Abono de celular y/o Internet, Comidas pagas/subvencionadas, WFH (Trabajar desde casa)"
11/25/2014 13:44:41,27 - 30,Entre Ríos,5 - 7,1 - 2,Developer,,".NET, C#, CSS, HTML, jQuery",,No,,9400,3,"Capacitaciones y/o cursos, Clases de idiomas, Snacks, golosinas, bebidas, etc, WFH (Trabajar desde casa)"
11/25/2014 13:44:47,30 - 33,Ciudad Autónoma de Buenos Aires,7 - 10,4 -6,SysAdmin,"Linux, Windows, """"""Cloud""""""",,,"Sí, activa",2000,2300,3,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Horarios flexibles, Laptop, WFH (Trabajar desde casa)"
11/25/2014 13:46:40,30 - 33,Ciudad Autónoma de Buenos Aires,5 - 7,4 -6,Networking,,,,No,,16000,3,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Snacks, golosinas, bebidas, etc, Horarios flexibles, Laptop, Viajes, WFH (Trabajar desde casa)"
11/25/2014 13:48:48,27 - 30,Santa Fe,10+,Menos de un año,Otro,,,,"Sí, pasiva",200,25000,4,Capacitaciones y/o cursos
11/25/2014 13:50:40,30 - 33,Chaco,10+,6 - 10,SysAdmin,"*BSD, Linux, Windows",,,"Sí, pasiva",0,20000,4,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Comidas pagas/subvencionadas, Horarios flexibles, Laptop, WFH (Trabajar desde casa)"
11/25/2014 13:50:43,25 - 27,Ciudad Autónoma de Buenos Aires,3 - 5,1 - 2,SysAdmin,Linux,,,No,,12500,3,Ninguna de las anteriores
11/25/2014 13:51:35,25 - 27,Ciudad Autónoma de Buenos Aires,5 - 7,4 -6,Developer,,"CSS, HTML, jQuery, PHP, Python, Ruby",,No,,15000,3,Horarios flexibles
11/25/2014 13:51:51,35 - 40,Ciudad Autónoma de Buenos Aires,10+,10+,Infosec,,,,"Sí, pasiva",3000,30000,3,Ninguna de las anteriores
11/25/2014 13:53:21,40 - 45,Córdoba,5 - 7,4 -6,Storage / Backup,,,,No,,10000,3,"Comidas pagas/subvencionadas, Laptop, Stock options, WFH (Trabajar desde casa)"
11/25/2014 13:54:05,33 - 35,Ciudad Autónoma de Buenos Aires,10+,6 - 10,SysAdmin,"AIX, Linux, Solaris",,,No,,18920.64,2,"Horarios flexibles, Laptop, WFH (Trabajar desde casa)"
11/25/2014 13:54:38,,Ciudad Autónoma de Buenos Aires,3 - 5,4 -6,SysAdmin,"Linux, Windows",,,No,,15000,3,"Abono de celular y/o Internet, Laptop"
11/25/2014 13:55:19,35 - 40,Mendoza,10+,10+,SysAdmin,"Linux, """"""Cloud""""""",,,No,,17000,2,"Abono de celular y/o Internet, Horarios flexibles"
11/25/2014 13:55:44,30 - 33,Ciudad Autónoma de Buenos Aires,7 - 10,1 - 2,PM,,,,No,,16000,3,"Abono de celular y/o Internet, Comidas pagas/subvencionadas, Snacks, golosinas, bebidas, etc, Horarios flexibles, Laptop, WFH (Trabajar desde casa)"
11/25/2014 13:55:57,33 - 35,Ciudad Autónoma de Buenos Aires,3 - 5,1 - 2,SysAdmin,"Linux, Windows, """"""Cloud""""""",,,"Sí, pasiva",,15500,3,"Abono de celular y/o Internet, Clases de idiomas, Comidas pagas/subvencionadas, Snacks, golosinas, bebidas, etc, Horarios flexibles, Laptop, WFH (Trabajar desde casa)"
11/25/2014 13:59:35,30 - 33,Ciudad Autónoma de Buenos Aires,10+,Menos de un año,SysAdmin,"Windows, """"""Cloud"""""", VMWare",,,"Sí, activa",3000,35000,4,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Horarios flexibles, Laptop, Viajes, WFH (Trabajar desde casa)"
11/25/2014 14:00:11,27 - 30,Córdoba,3 - 5,1 - 2,Otro,,,,"Sí, pasiva",0,15000,3,"Clases de idiomas, Comidas pagas/subvencionadas, Laptop, Transporte"
11/25/2014 14:00:28,25 - 27,Buenos Aires,3 - 5,2 - 4,Developer,,".NET, C#, Java",,No,,13000,4,"Capacitaciones y/o cursos, Horarios flexibles"
11/25/2014 14:04:15,30 - 33,Ciudad Autónoma de Buenos Aires,10+,1 - 2,SysAdmin,Linux,,,"Sí, pasiva",,50000,5,"Horarios flexibles, WFH (Trabajar desde casa)"
11/25/2014 14:09:07,30 - 33,Ciudad Autónoma de Buenos Aires,10+,4 -6,Networking,,,,"Sí, activa",2500,15000,3,Comidas pagas/subvencionadas
11/25/2014 14:11:42,35 - 40,Ciudad Autónoma de Buenos Aires,7 - 10,4 -6,PM,,,,No,,20000,2,"Horarios flexibles, Laptop, Stock options, WFH (Trabajar desde casa)"
11/25/2014 14:13:23,35 - 40,Buenos Aires,7 - 10,6 - 10,HelpDesk,,,,No,,8500,2,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Clases de idiomas, Snacks, golosinas, bebidas, etc, Laptop, Viajes"
11/25/2014 14:15:04,35 - 40,Buenos Aires,5 - 7,2 - 4,Storage / Backup,,,,"Sí, activa",0,15000,1,"Abono de celular y/o Internet, Laptop, WFH (Trabajar desde casa)"
11/25/2014 14:18:51,30 - 33,Ciudad Autónoma de Buenos Aires,5 - 7,4 -6,QA / Tester,,,,No,,14800,2,"Horarios flexibles, WFH (Trabajar desde casa)"
11/25/2014 14:23:27,30 - 33,Ciudad Autónoma de Buenos Aires,10+,1 - 2,DevOps,Linux,,,No,,15000,2,Ninguna de las anteriores
11/25/2014 14:24:30,27 - 30,Córdoba,7 - 10,Menos de un año,Developer,,"CSS, HTML, jQuery, NodeJS, PHP, Python",,No,,25000,4,Ninguna de las anteriores
11/25/2014 14:24:45,27 - 30,Ciudad Autónoma de Buenos Aires,5 - 7,2 - 4,Infosec,,,,No,,12800,3,Ninguna de las anteriores
11/25/2014 14:25:08,25 - 27,Ciudad Autónoma de Buenos Aires,3 - 5,4 -6,QA / Tester,,,,No,,14500,4,Horarios flexibles
11/25/2014 14:25:24,40 - 45,Ciudad Autónoma de Buenos Aires,10+,4 -6,DBA,,,"MySQL/MariaDB, PostgreSQL",No,,12400,2,"Abono de celular y/o Internet, Clases de idiomas, Comidas pagas/subvencionadas, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Snacks, golosinas, bebidas, etc, Laptop, Playroom, WFH (Trabajar desde casa)"
11/25/2014 14:29:36,35 - 40,Ciudad Autónoma de Buenos Aires,3 - 5,2 - 4,SysAdmin,"Linux, Windows",,,"Sí, pasiva",0,16000,3,"Abono de celular y/o Internet, Horarios flexibles"
11/25/2014 14:29:38,30 - 33,Ciudad Autónoma de Buenos Aires,5 - 7,2 - 4,SysAdmin,"Linux, Windows, """"""Cloud""""""",,,"Sí, activa",2000,23173,4,"Capacitaciones y/o cursos, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Snacks, golosinas, bebidas, etc, Horarios flexibles, Laptop, Playroom, WFH (Trabajar desde casa)"
11/25/2014 14:31:46,27 - 30,Ciudad Autónoma de Buenos Aires,5 - 7,4 -6,SysAdmin,"Linux, Windows, """"""Cloud""""""",,,No,,10000,2,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Clases de idiomas, Snacks, golosinas, bebidas, etc"
11/25/2014 14:32:09,35 - 40,Santa Fe,10+,6 - 10,SysAdmin,"Linux, Windows",,,No,,15000,3,"Horarios flexibles, Laptop, WFH (Trabajar desde casa)"
11/25/2014 14:32:15,27 - 30,Ciudad Autónoma de Buenos Aires,5 - 7,1 - 2,Developer,,".NET, C++, HTML, Java, jQuery, PHP, Python",,No,,8000,2,Horarios flexibles
11/25/2014 14:33:37,27 - 30,Buenos Aires,7 - 10,4 -6,DevOps,"AIX, Linux, Solaris, Windows",,,"Sí, pasiva",200,14000,3,"Horarios flexibles, WFH (Trabajar desde casa)"
11/25/2014 14:35:57,27 - 30,Ciudad Autónoma de Buenos Aires,7 - 10,2 - 4,SysAdmin,"*BSD, AIX, HP-UX, Linux, Solaris",,,"Sí, pasiva",0,18000,3,"Abono de celular y/o Internet, Clases de idiomas, Horarios flexibles, Laptop, WFH (Trabajar desde casa)"
11/25/2014 14:36:27,30 - 33,Ciudad Autónoma de Buenos Aires,7 - 10,Menos de un año,PM,,,,"Sí, pasiva",500,18000,3,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Comidas pagas/subvencionadas, Snacks, golosinas, bebidas, etc, Horarios flexibles, Laptop, Playroom, Stock options, WFH (Trabajar desde casa)"
