Soy,Tengo,Argentina,Años de experiencia,Años en el puesto actual,Trabajo de,Tecnologías que utilizás,Tecnologías que utilizás,Automation o funcional?,Tecnologías que utilizás,Tecnologías que utilizás,Tenés guardias?,Cuánto cobrás por guardia (en tu moneda local),"Porcentaje, bruto o neto?",Tipo de contrato,Salario mensual (en tu moneda local),Bruto o neto?,Qué tan conforme estás con tu sueldo?,Cómo creés que está tu sueldo con respecto a Enero 2016,Recibís algún tipo de bono,A qué está atado el bono,Tuviste ajustes por inflación este año?,De qué % fue el ajuste?,Cantidad de empleados,Cambiaste de empresa en los últimos 6 meses?,Cuál fue el principal motivo de cambio?,Beneficios extra
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,10+,3 - 4,Designer,,,,,,,,,Full-Time,25000,Bruto,4,3,Un sueldo,Performance de la compañía,Uno,30,1-10,No,No cambié de empresa,Capacitaciones y/o cursos
Hombre,18 - 20,Ciudad Autónoma de Buenos Aires,Menos de un año,Menos de un año,Developer,,CSS;HTML;Java;Javascript;jQuery;NodeJS,,,,No,0,Neto,Part-Time,8000,Neto,2,4,Un sueldo,Performance de la compañía,Uno,20,1001+,Sí,Desafíos profesionales,Capacitaciones y/o cursos;Cuota para universidad;Horarios flexibles;Laptop;Vacaciones flexibles (adicionales a las reglamentarias);WFH (Trabajar desde casa)
Mujer,27 - 30,Ciudad Autónoma de Buenos Aires,1 - 2,Menos de un año,Developer,,HTML;Propietario,,,,No,0,Porcentaje de mi sueldo,Part-Time,12000,Neto,4,3,No,No recibo bono,Uno,20,11-50,Sí,Desafíos profesionales,Aumento por inflación;Horarios flexibles
Hombre,34 - 36,Córdoba,10+,7 - 8,Developer,,HTML;Java;Javascript;jQuery;PHP,,,,No,0,Neto,Full-Time,22500,Neto,3,4,Un sueldo,Performance grupal,Dos,35,11-50,No,No cambié de empresa,Aumento por inflación;Bonos por desempeño;WFH (Trabajar desde casa);Actualizacion de equipos
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,5 - 7,Menos de un año,SysAdmin / DevOps,Linux;Windows;Docker / Containers;VMWare,,,,,No,0,Porcentaje de mi sueldo,Full-Time,17300,Bruto,4,2,No,No recibo bono,No,0,51-100,No,No cambié de empresa,Capacitaciones y/o cursos;Horarios flexibles;Vacaciones flexibles (adicionales a las reglamentarias)
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,8 - 10,1 - 2,Networking,,,,,,No,0,Neto,Full-Time,33750,Bruto,2,1,De uno a tres sueldos,Mix de las anteriores,Uno,25,201-500,No,No cambié de empresa,Aumento por inflación;Bonos por desempeño;Capacitaciones y/o cursos;Clases de idiomas;Horarios flexibles;Laptop;Vacaciones flexibles (adicionales a las reglamentarias);WFH (Trabajar desde casa)
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,5 - 7,5 - 6,Adm,,,,,,,,,Full-Time,9600,Neto,1,2,No,No recibo bono,Uno,31,101-200,No,No cambié de empresa,Ninguna de las anteriores
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,1 - 2,1 - 2,SysAdmin / DevOps,Linux;Windows;VMWare,,,,,"Sí, activa",0,Bruto,Full-Time,12000,Bruto,2,2,No,No recibo bono,Uno,15,1001+,No,No cambié de empresa,Comidas pagas/subvencionadas
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,5 - 7,2 - 3,Developer,,.NET;C#;CSS;HTML;Javascript;jQuery;NodeJS,,,,No,0,Porcentaje de mi sueldo,Part-Time,9000,Neto,1,1,No,No recibo bono,Uno,31,1001+,No,No cambié de empresa,Horarios flexibles;Vacaciones flexibles (adicionales a las reglamentarias)
Hombre,24 - 26,Provincia de Buenos Aires,5 - 7,5 - 6,tecnico,,,,,,,,,Part-Time,9600,Neto,3,2,Menos de un sueldo,horas extra,Uno,25,1-10,No,No cambié de empresa,Abono de celular y/o Internet;Sueldo divido en dos pagos por mes;Vacaciones flexibles (adicionales a las reglamentarias)
Mujer,24 - 26,Ciudad Autónoma de Buenos Aires,8 - 10,1 - 2,Gerente de Tienda Fast Food,,,,,,,,,Full-Time,20400,Bruto,3,2,Menos de un sueldo,Performance del local vs Budget,Uno,2,1001+,No,No cambié de empresa,"Abono de celular y/o Internet;Bonos por desempeño;Capacitaciones y/o cursos;Comidas pagas/subvencionadas;Descuentos en gimnasios;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);Horarios flexibles"
Hombre,21 - 23,Provincia de Buenos Aires,Menos de un año,Menos de un año,Developer,,Java,,,,No,0,Porcentaje de mi sueldo,Full-Time,10000,Neto,3,2,No,No recibo bono,No,0,51-100,No,No cambié de empresa,Ninguna de las anteriores
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,Menos de un año,Menos de un año,Developer,,CSS;HTML;Javascript;jQuery,,,,No,0,Porcentaje de mi sueldo,Full-Time,16000,Bruto,4,3,No,No recibo bono,No,0,1001+,No,No cambié de empresa,"Aumento por inflación;Capacitaciones y/o cursos;Descuentos en gimnasios;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);Horarios flexibles;Laptop;Sueldo divido en dos pagos por mes"
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,8 - 10,Menos de un año,Developer,,SQL,,,,No,0,Neto,Full-Time,22500,Neto,3,4,No,No recibo bono,Uno,20,11-50,No,No cambié de empresa,WFH (Trabajar desde casa)
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,10+,8 - 9,PM,,,,,,,,,Full-Time,24000,Neto,3,3,No,No recibo bono,No,0,1001+,No,No cambié de empresa,Aumento por inflación;Capacitaciones y/o cursos;Descuentos en gimnasios;Horarios flexibles;WFH (Trabajar desde casa)
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,5 - 7,3 - 4,operario textil,,,,,,,,,Full-Time,12000,Neto,3,2,No,No recibo bono,No,0,1-10,No,No cambié de empresa,Sueldo divido en dos pagos por mes
Hombre,31 - 33,Santa Fe,5 - 7,1 - 2,Developer,,CSS;HTML;Java;Javascript;jQuery,,,,No,0,Porcentaje de mi sueldo,Full-Time,16500,Neto,4,4,Menos de un sueldo,Fijo,Dos,25,51-100,No,No cambié de empresa,Aumento por inflación;Capacitaciones y/o cursos;Clases de idiomas;Descuentos en gimnasios;WFH (Trabajar desde casa)
Hombre,24 - 26,Córdoba,3 - 5,Menos de un año,Developer,,CSS;HTML;Java;Javascript;jQuery,,,,No,0,Porcentaje de mi sueldo,Full-Time,16000,Neto,3,4,No,No recibo bono,Dos,17,51-100,No,No cambié de empresa,Abono de celular y/o Internet;Bonos por desempeño
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,10+,9 - 10,"Networking, soporte",,,,,,,,,Full-Time,15000,Neto,2,1,No,No recibo bono,Uno,38,201-500,No,No cambié de empresa,Horarios flexibles;Vacaciones flexibles (adicionales a las reglamentarias)
Hombre,31 - 33,Provincia de Buenos Aires,3 - 5,2 - 3,HelpDesk,,,,,,No,0,Porcentaje de mi sueldo,Full-Time,15000,Neto,3,1,No,No recibo bono,Uno,15,1001+,No,No cambié de empresa,Aumento por inflación;Capacitaciones y/o cursos;Horarios flexibles;Vacaciones flexibles (adicionales a las reglamentarias);Viáticos
Hombre,34 - 36,GBA,5 - 7,1 - 2,Designer,,,,,,,,,Part-Time,8000,Neto,3,3,No,No recibo bono,No,0,1-10,No,No cambié de empresa,Ninguna de las anteriores
Hombre,27 - 30,Córdoba,8 - 10,2 - 3,Reparacion redes,,,,,,,,,Full-Time,10,Neto,3,2,No,No recibo bono,Uno,25,201-500,No,No cambié de empresa,Aumento por inflación;Comidas pagas/subvencionadas
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,1 - 2,Menos de un año,Developer,,Java,,,,No,0,Bruto,Part-Time,12000,Bruto,2,2,No,No recibo bono,No,0,1-10,No,No cambié de empresa,Ninguna de las anteriores
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,3 - 5,3 - 4,Networking,,,,,,No,0,Bruto,Full-Time,12000,Neto,2,1,No,No recibo bono,Uno,20,1001+,No,No cambié de empresa,Ninguna de las anteriores
Hombre,41 - 45,Ciudad Autónoma de Buenos Aires,8 - 10,8 - 9,técnico,,,,,,,,,Full-Time,12000,Neto,1,2,No,No recibo bono,Uno,10,1-10,No,No cambié de empresa,Viáticos
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,8 - 10,2 - 3,Incident Manager,,,,,,,,,Full-Time,11181,Neto,1,1,No,No recibo bono,No,0,1001+,No,No cambié de empresa,Ninguna de las anteriores
Hombre,21 - 23,Ciudad Autónoma de Buenos Aires,3 - 5,2 - 3,Monitoreo,,,,,,,,,Full-Time,6800,Neto,1,1,Menos de un sueldo,Performance individual,No,0,1-10,No,No cambié de empresa,Bonos por desempeño;Descuentos en gimnasios;Horarios flexibles;Vacaciones flexibles (adicionales a las reglamentarias)
Mujer,24 - 26,GBA,3 - 5,1 - 2,Consultoria,,,,,,,,,Full-Time,18000,Bruto,4,4,Menos de un sueldo,Performance individual,Uno,17,11-50,No,Desafíos profesionales,Abono de celular y/o Internet;Aumento por inflación;Capacitaciones y/o cursos
Hombre,18 - 20,Ciudad Autónoma de Buenos Aires,Menos de un año,Menos de un año,QA / Tester,,,Mix,Selenium,,,,,Part-Time,7000,Bruto,4,5,No,No recibo bono,No,0,11-50,No,No cambié de empresa,Comidas pagas/subvencionadas;Vacaciones flexibles (adicionales a las reglamentarias)
Hombre,31 - 33,Mendoza,5 - 7,Menos de un año,Developer,,.NET;C#;CSS;HTML;Java;Javascript;jQuery;VB *,,,,No,0,Bruto,Full-Time,17000,Neto,4,4,No,No recibo bono,No,0,101-200,Sí,Salario,Aumento por inflación;Bonos por desempeño;Capacitaciones y/o cursos;Clases de idiomas
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,3 - 5,4 - 5,Developer,,Java,,,,No,0,Porcentaje de mi sueldo,Full-Time,32700,Bruto,3,4,No,No recibo bono,Uno,9,501-1000,No,No cambié de empresa,Clases de idiomas
Hombre,27 - 30,GBA,5 - 7,Menos de un año,HelpDesk,,,,,,No,0,Neto,Full-Time,16000,Bruto,3,4,Un sueldo,Mix de las anteriores,Uno,10,51-100,Sí,Salario,"Aumento por inflación;Bonos por desempeño;Capacitaciones y/o cursos;Clases de idiomas;Comidas pagas/subvencionadas;Laptop;Snacks, golosinas, bebidas, etc"
Hombre,31 - 33,Santa Fe,3 - 5,2 - 3,SAP SD,,,,,,,,,Full-Time,13000,Neto,2,2,Un sueldo,Mix de las anteriores,Dos,10,201-500,No,No cambié de empresa,Abono de celular y/o Internet;Bonos por desempeño;Capacitaciones y/o cursos;Descuentos en gimnasios;WFH (Trabajar desde casa)
Hombre,27 - 30,Córdoba,8 - 10,7 - 8,SysAdmin / DevOps,*BSD;Linux;Windows;VMWare,,,,,"Sí, activa",0,Porcentaje de mi sueldo,Full-Time,18000,Neto,3,2,No,No recibo bono,Dos,17,201-500,No,No cambié de empresa,"Abono de celular y/o Internet;Snacks, golosinas, bebidas, etc"
Hombre,18 - 20,Santa Fe,1 - 2,1 - 2,Reparacion de reclamos,,,,,,,,,Full-Time,11000,Neto,1,2,Un sueldo,Performance grupal,No,0,1001+,No,No cambié de empresa,Abono de celular y/o Internet
Hombre,27 - 30,Córdoba,3 - 5,2 - 3,HelpDesk,,,,,,No,12000,Neto,Full-Time,12000,Neto,2,3,Un sueldo,No recibo bono,Uno,25,51-100,No,No cambié de empresa,Comidas pagas/subvencionadas
Hombre,50+,Ciudad Autónoma de Buenos Aires,10+,10+,Developer,,.NET;C#;HTML;Javascript;jQuery;VB *,,,,No,0,Porcentaje de mi sueldo,Full-Time,18000,Neto,3,3,No,No recibo bono,No,0,101-200,No,No cambié de empresa,Ninguna de las anteriores
Hombre,27 - 30,Córdoba,3 - 5,3 - 4,PM,,,,,,,,,Full-Time,25815,Neto,4,3,No,No recibo bono,Uno,30,11-50,No,No cambié de empresa,Capacitaciones y/o cursos;Clases de idiomas;Horarios flexibles;Viajes al exterior;WFH (Trabajar desde casa)
Hombre,27 - 30,Provincia de Buenos Aires,10+,1 - 2,Networking,,,,,,No,0,Neto,Full-Time,2500,Neto,3,1,No,No recibo bono,No,0,201-500,No,No cambié de empresa,Abono de celular y/o Internet;Comidas pagas/subvencionadas
Hombre,27 - 30,Provincia de Buenos Aires,10+,1 - 2,Networking,,,,,,No,0,Neto,Full-Time,2500,Neto,3,1,No,No recibo bono,No,0,201-500,No,No cambié de empresa,Abono de celular y/o Internet;Comidas pagas/subvencionadas
Mujer,24 - 26,Provincia de Buenos Aires,3 - 5,Menos de un año,BA,,,,,,,,,Full-Time,15000,Neto,4,3,No,No recibo bono,No,27,1-10,Sí,Desafíos profesionales,Ninguna de las anteriores
Hombre,34 - 36,Provincia de Buenos Aires,8 - 10,5 - 6,Soporte tecnico,,,,,,,,,Full-Time,16000,Neto,3,3,No,No recibo bono,Dos,22,1001+,No,No cambié de empresa,"Abono de celular y/o Internet;Aumento por inflación;Comidas pagas/subvencionadas;Horarios flexibles;Laptop;Snacks, golosinas, bebidas, etc;Viáticos"
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,8 - 10,8 - 9,Designer,,,,,,,,,Full-Time,16500,Neto,2,2,Menos de un sueldo,Performance de la compañía,Uno,18,501-1000,No,No cambié de empresa,"Abono de celular y/o Internet;Bonos por desempeño;Clases de idiomas;Comidas pagas/subvencionadas;Descuentos en gimnasios;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);Horarios flexibles;Laptop;Snacks, golosinas, bebidas, etc;Viajes al exterior;WFH (Trabajar desde casa)"
Mujer,24 - 26,Ciudad Autónoma de Buenos Aires,5 - 7,2 - 3,DBA,,,,,MSSQL,No,0,Bruto,Full-Time,18000,Neto,2,2,De uno a tres sueldos,Performance individual,Uno,20,1001+,No,No cambié de empresa,"Aumento por inflación;Bonos por desempeño;Capacitaciones y/o cursos;Clases de idiomas;Descuentos en gimnasios;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);Laptop;WFH (Trabajar desde casa)"
Hombre,24 - 26,Santa Fe,10+,Menos de un año,Networking,,,,,,No,0,Bruto,Full-Time,15000,Neto,4,3,Menos de un sueldo,Performance individual,Dos,30,11-50,Sí,Salario,Capacitaciones y/o cursos;Horarios flexibles;Vacaciones flexibles (adicionales a las reglamentarias)
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,8 - 10,8 - 9,HelpDesk,,,,,,No,0,Porcentaje de mi sueldo,Full-Time,12000,Bruto,3,2,No,No recibo bono,No,0,1001+,No,No cambié de empresa,Abono de celular y/o Internet;Comidas pagas/subvencionadas;Vacaciones flexibles (adicionales a las reglamentarias)
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,1 - 2,1 - 2,QA / Tester,,,Funcional,"HP ALM, Oracle y Microsoft SQL",,,,,Full-Time,19500,Bruto,3,2,Menos de un sueldo,Mix de las anteriores,Uno,17,201-500,Sí,Desafíos profesionales,"Aumento por inflación;Capacitaciones y/o cursos;Clases de idiomas;Descuentos en gimnasios;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);Snacks, golosinas, bebidas, etc"
Hombre,34 - 36,La Pampa,8 - 10,4 - 5,Storage / Backup,,,,,,No,0,Porcentaje de mi sueldo,Full-Time,15000,Bruto,3,2,No,No recibo bono,Dos,25,1-10,No,No cambié de empresa,Abono de celular y/o Internet
Hombre,24 - 26,Provincia de Buenos Aires,Menos de un año,Menos de un año,Networking,,,,,,No,0,Porcentaje de mi sueldo,Full-Time,14500,Bruto,1,2,No,No recibo bono,Uno,25,11-50,No,No cambié de empresa,"Comidas pagas/subvencionadas;Laptop;Snacks, golosinas, bebidas, etc"
Hombre,27 - 30,Santa Fe,5 - 7,5 - 6,Developer,,CSS;HTML;Javascript;jQuery;NodeJS;PHP;Python,,,,No,0,Porcentaje de mi sueldo,Freelance,12000,Bruto,3,2,No,No recibo bono,Uno,10,11-50,No,No cambié de empresa,Ninguna de las anteriores
Hombre,24 - 26,Santa Fe,1 - 2,1 - 2,Ventas,,,,,,,,,Full-Time,30000,Bruto,4,3,Un sueldo,Mix de las anteriores,Uno,13,101-200,No,No cambié de empresa,Bonos por desempeño;Capacitaciones y/o cursos;Horarios flexibles
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,5 - 7,2 - 3,HelpDesk,,,,,,"Sí, pasiva",1000,Bruto,Full-Time,13000,Bruto,4,3,De uno a tres sueldos,Gift Cards,No,0,1001+,No,No cambié de empresa,"Capacitaciones y/o cursos;Clases de idiomas;Descuentos en gimnasios;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);Viáticos;WFH (Trabajar desde casa)"
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,10+,10+,SysAdmin / DevOps,Linux;Windows;VMWare,,,,,No,0,Porcentaje de mi sueldo,Part-Time,20000,Neto,4,4,No,No recibo bono,Uno,25,11-50,No,No cambié de empresa,"Horarios flexibles;Snacks, golosinas, bebidas, etc"
Hombre,31 - 33,Provincia de Buenos Aires,8 - 10,1 - 2,QA / Tester,,,Funcional,Selenium;Visual Studio Coded UI,,,,,Full-Time,14500,Neto,3,2,Un sueldo,Performance individual,Uno,10,1001+,No,No cambié de empresa,Bonos por desempeño;Capacitaciones y/o cursos;Clases de idiomas;Descuentos en gimnasios;Guardería;WFH (Trabajar desde casa)
Hombre,31 - 33,GBA,5 - 7,6 - 7,PM,,,,,,,,,Part-Time,18000,Neto,3,4,Un sueldo,Performance de la compañía,Dos,10,1001+,No,No cambié de empresa,"Aumento por inflación;Snacks, golosinas, bebidas, etc;Viáticos"
Hombre,27 - 30,Córdoba,3 - 5,3 - 4,Networking,,,,,,"Sí, pasiva",12900,Neto,Full-Time,12900,Neto,1,1,Un sueldo,Performance de la compañía,No,0,101-200,No,Desafíos profesionales,Ninguna de las anteriores
Hombre,31 - 33,Santa Fe,10+,7 - 8,HelpDesk,,,,,,No,0,Bruto,Full-Time,23000,Neto,3,2,No,No recibo bono,Más de dos,24,11-50,No,No cambié de empresa,Aumento por inflación;Capacitaciones y/o cursos;Clases de idiomas;Horarios flexibles;Vacaciones flexibles (adicionales a las reglamentarias)
Hombre,34 - 36,GBA,10+,2 - 3,SysAdmin / DevOps,Windows;Azure;VMWare;Office 365,,,,,No,0,Porcentaje de mi sueldo,Full-Time,19000,Neto,2,3,No,No recibo bono,No,0,11-50,No,No cambié de empresa,Aumento por inflación;Playroom
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,8 - 10,5 - 6,SysAdmin / DevOps,Windows;Azure;Exchange,,,,,No,0,Neto,Full-Time,25000,Neto,3,3,No,No recibo bono,Uno,17,1001+,No,No cambié de empresa,Abono de celular y/o Internet;Capacitaciones y/o cursos;Descuentos en gimnasios;Horarios flexibles
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,5 - 7,2 - 3,Soporte técnico ,,,,,,,,,Full-Time,16000,Neto,3,4,Menos de un sueldo,Performance de la compañía,Uno,35,51-100,No,No cambié de empresa,"Clases de idiomas;Snacks, golosinas, bebidas, etc;Viajes al exterior"
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,Menos de un año,Menos de un año,Designer,,,,,,,,,Full-Time,4000,Bruto,1,1,No,No recibo bono,No,0,11-50,No,No cambié de empresa,Capacitaciones y/o cursos
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,10+,7 - 8,SysAdmin / DevOps,Windows;VMWare;Citrix,,,,,"Sí, pasiva",6444,Bruto,Full-Time,19800,Bruto,2,3,Menos de un sueldo,Mix de las anteriores,Uno,22,501-1000,No,No cambié de empresa,Abono de celular y/o Internet;Aumento por inflación;Capacitaciones y/o cursos;Descuentos en gimnasios;Guardería;Horarios flexibles;Laptop;Stock options;Sueldo divido en dos pagos por mes;Vacaciones flexibles (adicionales a las reglamentarias);Viajes al exterior;WFH (Trabajar desde casa)
Hombre,21 - 23,Córdoba,1 - 2,Menos de un año,Developer,,.NET;C#;CSS;HTML;Java;Javascript;jQuery,,,,No,0,Porcentaje de mi sueldo,Full-Time,12000,Neto,2,3,Menos de un sueldo,Performance individual,Uno,10,51-100,No,No cambié de empresa,Viáticos
Hombre,21 - 23,Ciudad Autónoma de Buenos Aires,3 - 5,Menos de un año,SysAdmin / DevOps,Linux;Windows;AWS / Rackspace;Azure;VMWare,,,,,"Sí, pasiva",0,Porcentaje de mi sueldo,Full-Time,19500,Neto,2,1,No,No recibo bono,Uno,15,1001+,No,No cambié de empresa,"Abono de celular y/o Internet;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);Laptop;WFH (Trabajar desde casa)"
Hombre,21 - 23,GBA,1 - 2,1 - 2,Operario ,,,,,,,,,Full-Time,13000,Bruto,3,2,No,No recibo bono,No,0,201-500,No,No cambié de empresa,Ninguna de las anteriores
Hombre,41 - 45,Ciudad Autónoma de Buenos Aires,10+,6 - 7,SysAdmin / DevOps,Linux;Windows;AWS / Rackspace;Azure;VMWare,,,,,"Sí, activa",10,Porcentaje de mi sueldo,Full-Time,24000,Neto,1,2,De uno a tres sueldos,Performance individual,Uno,10,1001+,No,No cambié de empresa,Abono de celular y/o Internet;Bonos por desempeño;Capacitaciones y/o cursos;Descuentos en gimnasios;Horarios flexibles;Laptop;WFH (Trabajar desde casa)
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,3 - 5,1 - 2,Seguridad,,,,,,,,,Full-Time,13200,Bruto,3,2,No,No recibo bono,No,0,11-50,Sí,Desafíos profesionales,Ninguna de las anteriores
Hombre,37 - 40,GBA,10+,8 - 9,Arquitecto,,,,,,,,,Full-Time,29000,Bruto,3,2,Menos de un sueldo,Mix de las anteriores,Uno,10,1001+,No,No cambié de empresa,"Abono de celular y/o Internet;Aumento por inflación;Bonos por desempeño;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);Horarios flexibles;Snacks, golosinas, bebidas, etc;Vacaciones flexibles (adicionales a las reglamentarias);WFH (Trabajar desde casa)"
Hombre,34 - 36,Córdoba,8 - 10,8 - 9,Costumer engineer,,,,,,,,,Full-Time,15000,Neto,2,3,Menos de un sueldo,Performance individual,Uno,30,1-10,No,No cambié de empresa,Abono de celular y/o Internet;Clases de idiomas;Comidas pagas/subvencionadas;Laptop;Viáticos
Hombre,18 - 20,Ciudad Autónoma de Buenos Aires,Menos de un año,Menos de un año,Developer,,.NET,,,,No,0,Porcentaje de mi sueldo,Part-Time,4000,Neto,3,3,No,No recibo bono,No,0,1-10,No,No cambié de empresa,Ninguna de las anteriores
Hombre,21 - 23,GBA,1 - 2,1 - 2,HelpDesk,,,,,,No,0,Porcentaje de mi sueldo,Full-Time,10000,Neto,1,3,No,No recibo bono,Uno,22,1001+,No,No cambié de empresa,Aumento por inflación;Comidas pagas/subvencionadas
Hombre,24 - 26,La Pampa,1 - 2,Menos de un año,HelpDesk,,,,,,No,0,Neto,Part-Time,16000,Bruto,4,5,No,No recibo bono,Uno,20,1001+,No,No cambié de empresa,Vacaciones flexibles (adicionales a las reglamentarias)
Hombre,27 - 30,GBA,10+,Menos de un año,HelpDesk,,,,,,No,0,Porcentaje de mi sueldo,Full-Time,15000,Neto,4,3,No,No recibo bono,No,0,101-200,No,No cambié de empresa,"Clases de idiomas;Comidas pagas/subvencionadas;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc)"
Mujer,34 - 36,Ciudad Autónoma de Buenos Aires,10+,7 - 8, ERP ,,,,,,,,,Full-Time,25500,Neto,2,2,Un sueldo,Mix de las anteriores,Uno,15,1001+,No,No cambié de empresa,Abono de celular y/o Internet;Aumento por inflación;Bonos por desempeño;Descuentos en gimnasios;Horarios flexibles;Vacaciones flexibles (adicionales a las reglamentarias);WFH (Trabajar desde casa)
Hombre,27 - 30,Provincia de Buenos Aires,1 - 2,1 - 2,Developer,,CSS;HTML;Java;Javascript;NodeJS;Scala,,,,No,0,Neto,Full-Time,20000,Bruto,4,3,De uno a tres sueldos,Performance grupal,Uno,15,101-200,No,No cambié de empresa,Clases de idiomas;Descuentos en gimnasios;Horarios flexibles;Laptop;WFH (Trabajar desde casa)
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,5 - 7,1 - 2,HelpDesk,,,,,,No,0,Neto,Full-Time,11500,Neto,2,2,Menos de un sueldo,Performance individual,Uno,14,51-100,No,No cambié de empresa,"Bonos por desempeño;Comidas pagas/subvencionadas;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);Snacks, golosinas, bebidas, etc"
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,1 - 2,Menos de un año,HelpDesk,,,,,,No,0,Bruto,Full-Time,13500,Bruto,3,2,No,No recibo bono,Uno,20,1-10,No,No cambié de empresa,Ninguna de las anteriores
Hombre,21 - 23,Santiago del Estero,1 - 2,1 - 2,Admin,,,,,,,,,Part-Time,4300,Neto,2,3,Menos de un sueldo,Performance de la compañía,No,0,201-500,No,No cambié de empresa,Ninguna de las anteriores
Hombre,27 - 30,Córdoba,5 - 7,3 - 4,SysAdmin / DevOps,Linux;Windows;VMWare,,,,,"Sí, pasiva",0,Porcentaje de mi sueldo,Full-Time,11500,Neto,2,3,Un sueldo,Mix de las anteriores,Uno,20,101-200,No,No cambié de empresa,Capacitaciones y/o cursos;Comidas pagas/subvencionadas
Hombre,34 - 36,GBA,8 - 10,1 - 2,HelpDesk,,,,,,"Sí, pasiva",170,Neto,Full-Time,16400,Neto,2,2,No,No recibo bono,Uno,18,201-500,No,No cambié de empresa,Ninguna de las anteriores
Hombre,21 - 23,Ciudad Autónoma de Buenos Aires,1 - 2,Menos de un año,Oracle Tech Consultant,,,,,,,,,Full-Time,12800,Bruto,3,2,No,No recibo bono,Uno,20,1001+,No,No cambié de empresa,Aumento por inflación;Capacitaciones y/o cursos;Clases de idiomas
Hombre,41 - 45,Santa Fe,10+,10+,admin pyme,,,,,,,,,Full-Time,26000,Neto,4,3,No,No recibo bono,Uno,20,11-50,No,No cambié de empresa,Vacaciones flexibles (adicionales a las reglamentarias)
Hombre,41 - 45,Santa Fe,10+,10+,admin pyme,,,,,,,,,Full-Time,26000,Neto,4,3,No,No recibo bono,Uno,20,11-50,No,No cambié de empresa,Vacaciones flexibles (adicionales a las reglamentarias)
Hombre,21 - 23,Córdoba,1 - 2,1 - 2,Developer,,.NET;C#;CSS;HTML;Javascript;jQuery;PHP,,,,No,0,Bruto,Full-Time,7150,Neto,1,1,No,No recibo bono,No,0,11-50,No,No cambié de empresa,Ninguna de las anteriores
Mujer,31 - 33,Santa Fe,8 - 10,4 - 5,Developer,,CSS;HTML;Javascript;jQuery;PHP,,,,No,0,Porcentaje de mi sueldo,Part-Time,12000,Neto,3,3,No,No recibo bono,Dos,30,1-10,No,No cambié de empresa,Horarios flexibles
Hombre,21 - 23,Córdoba,3 - 5,2 - 3,SysAdmin / DevOps,Linux;Windows;VMWare,,,,,No,0,Porcentaje de mi sueldo,Part-Time,6500,Neto,3,2,No,No recibo bono,Uno,25,1-10,No,No cambié de empresa,Abono de celular y/o Internet;Horarios flexibles;Viáticos
Hombre,24 - 26,Provincia de Buenos Aires,1 - 2,Menos de un año,Developer,,CSS;HTML;Java;Javascript;jQuery;PHP,,,,No,0,Porcentaje de mi sueldo,Full-Time,23000,Neto,5,5,No,No recibo bono,Uno,32,1001+,No,No cambié de empresa,Aumento por inflación;Comidas pagas/subvencionadas;Laptop;Vacaciones flexibles (adicionales a las reglamentarias)
Hombre,24 - 26,GBA,5 - 7,5 - 6,Security Administrator,,,,,,,,,Full-Time,14200,Bruto,3,4,Menos de un sueldo,Mix de las anteriores,No,0,201-500,No,No cambié de empresa,Cuota para universidad;Horarios flexibles;Laptop;Sueldo divido en dos pagos por mes;WFH (Trabajar desde casa)
