Soy,Tengo,Argentina,Años de experiencia,Años en el puesto actual,Trabajo de,Tecnologías que utilizás,Tecnologías que utilizás,Automation o funcional?,Tecnologías que utilizás,Tecnologías que utilizás,Tenés guardias?,Cuánto cobrás por guardia (en tu moneda local),"Porcentaje, bruto o neto?",Tipo de contrato,Salario mensual (en tu moneda local),Bruto o neto?,Qué tan conforme estás con tu sueldo?,Cómo creés que está tu sueldo con respecto a Enero 2016,Recibís algún tipo de bono,A qué está atado el bono,Tuviste ajustes por inflación este año?,De qué % fue el ajuste?,Cantidad de empleados,Cambiaste de empresa en los últimos 6 meses?,Cuál fue el principal motivo de cambio?,Beneficios extra
Hombre,24 - 26,Córdoba,8 - 10,Menos de un año,Developer,,CSS;Go;HTML;Javascript;NodeJS;PHP,,,,No,0,Porcentaje de mi sueldo,Full-Time,32000,Neto,3,1,No,No recibo bono,Uno,15,51-100,No,No cambié de empresa,"Aumento por inflación;Horarios flexibles;Laptop;Snacks, golosinas, bebidas, etc;Vacaciones flexibles (adicionales a las reglamentarias);Viajes al exterior;WFH (Trabajar desde casa)"
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,10+,3 - 4,IT Manager,,,,,,,,,Full-Time,55000,Neto,4,3,De uno a tres sueldos,Mix de las anteriores,Uno,20,11-50,No,No cambié de empresa,Abono de celular y/o Internet;Comidas pagas/subvencionadas;Horarios flexibles;Laptop;Playroom;WFH (Trabajar desde casa)
Hombre,34 - 36,Mendoza,10+,1 - 2,Developer,,jQuery;PHP,,,,No,0,Porcentaje de mi sueldo,Full-Time,25000,Neto,4,4,No,No recibo bono,Uno,15,1-10,No,No cambié de empresa,Clases de idiomas;WFH (Trabajar desde casa)
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,10+,3 - 4,Developer,,Assembler;C;C++;C#;HTML;Java;Javascript;NodeJS;Python,,,,No,0,Neto,Remoto (empresa de otro país),82500,Neto,5,5,No,No recibo bono,No,0,1-10,No,No cambié de empresa,WFH (Trabajar desde casa)
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,8 - 10,Menos de un año,PM,,,,,,,,,Full-Time,40000,Bruto,3,3,Un sueldo,Performance individual,Uno,20,1001+,No,No cambié de empresa,"Aumento por inflación;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);Vacaciones flexibles (adicionales a las reglamentarias)"
Hombre,31 - 33,Provincia de Buenos Aires,8 - 10,Menos de un año,Developer,,.NET;C#;Javascript;NodeJS,,,,No,0,Bruto,Full-Time,37000,Bruto,4,4,Menos de un sueldo,Performance individual,Dos,40,101-200,No,No cambié de empresa,"Aumento por inflación;Bonos por desempeño;Capacitaciones y/o cursos;Clases de idiomas;Comidas pagas/subvencionadas;Descuentos en gimnasios;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);Horarios flexibles;Laptop;Playroom;Snacks, golosinas, bebidas, etc;Vacaciones flexibles (adicionales a las reglamentarias);Viajes al exterior;WFH (Trabajar desde casa)"
Hombre,27 - 30,Santa Fe,5 - 7,Menos de un año,Developer,,Python,,,,No,0,Porcentaje de mi sueldo,Full-Time,29000,Bruto,4,2,Menos de un sueldo,Performance de la compañía,No,0,11-50,Sí,Salario,Aumento por inflación;Bonos por desempeño;Capacitaciones y/o cursos;Horarios flexibles;WFH (Trabajar desde casa)
Hombre,34 - 36,Provincia de Buenos Aires,10+,9 - 10,Infosec,,,,,,No,0,Bruto,Full-Time,18000,Bruto,3,4,No,No recibo bono,Uno,10,1001+,No,No cambié de empresa,Capacitaciones y/o cursos;Clases de idiomas;Viajes al exterior
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,5 - 7,2 - 3,QA / Tester,,,Automation,Selenium;python,,,,,Full-Time,37000,Bruto,4,3,Menos de un sueldo,Mix de las anteriores,Uno,17,51-100,No,No cambié de empresa,"Aumento por inflación;Bonos por desempeño;Clases de idiomas;Horarios flexibles;Laptop;Snacks, golosinas, bebidas, etc;Vacaciones flexibles (adicionales a las reglamentarias);WFH (Trabajar desde casa)"
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,3 - 5,Menos de un año,SysAdmin / DevOps,*BSD;Linux;Windows;AWS / Rackspace;Docker / Containers;VMWare,,,,,"Sí, pasiva",0,Neto,Full-Time,24000,Bruto,2,3,No,No recibo bono,Uno,20,11-50,No,Todo lo anterior,"Capacitaciones y/o cursos;Clases de idiomas;Horarios flexibles;Laptop;Snacks, golosinas, bebidas, etc"
Hombre,31 - 33,Santa Fe,10+,10+,SysAdmin / DevOps,*BSD;Linux;Windows,,,,,"Sí, pasiva",0,Neto,Full-Time,21000,Bruto,5,5,No,Performance de la compañía,Uno,20,51-100,No,No cambié de empresa,Sueldo divido en dos pagos por mes
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,10+,5 - 6,SysAdmin / DevOps,Linux;Windows;VMWare,,,,,"Sí, pasiva",0,Porcentaje de mi sueldo,Full-Time,14500,Neto,1,1,No,No recibo bono,No,0,501-1000,No,No cambié de empresa,Horarios flexibles;Laptop
Hombre,34 - 36,Córdoba,10+,8 - 9,SysAdmin / DevOps,AIX;HP-UX;Linux;Solaris;VMWare,,,,,"Sí, pasiva",15,Porcentaje de mi sueldo,Full-Time,20000,Neto,2,3,Menos de un sueldo,Performance individual,Uno,12,1001+,No,No cambié de empresa,"Bonos por desempeño;Capacitaciones y/o cursos;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);Horarios flexibles;Laptop;Sueldo divido en dos pagos por mes;WFH (Trabajar desde casa)"
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,5 - 7,1 - 2,QA / Tester,,,Funcional,Watir,,,,,Full-Time,25000,Neto,2,1,Un sueldo,Mix de las anteriores,No,0,101-200,No,No cambié de empresa,"Abono de celular y/o Internet;Bonos por desempeño;Clases de idiomas;Comidas pagas/subvencionadas;Descuentos en gimnasios;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);Horarios flexibles;Laptop;Snacks, golosinas, bebidas, etc;Stock options;Vacaciones flexibles (adicionales a las reglamentarias);Viajes al exterior"
Mujer,27 - 30,Provincia de Buenos Aires,3 - 5,1 - 2,Desarollo y Mantenimiento de Hardware (Electrónica),,,,,,,,,Full-Time,15800,Neto,4,3,Menos de un sueldo,Performance de la compañía,Uno,12,101-200,No,No cambié de empresa,Capacitaciones y/o cursos;Clases de idiomas;Descuentos en gimnasios
Hombre,31 - 33,Santa Fe,5 - 7,3 - 4,SysAdmin / DevOps,Linux;OpenStack,,,,,"Sí, pasiva",1000,Neto,Full-Time,26000,Neto,4,3,No,No recibo bono,Uno,15,51-100,No,No cambié de empresa,"Aumento por inflación;Comidas pagas/subvencionadas;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc)"
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,5 - 7,1 - 2,Developer,,CSS;Go;HTML;Java;Javascript;jQuery;NodeJS;Python;R;Ruby;Scala,,,,No,0,Porcentaje de mi sueldo,Full-Time,19000,Neto,2,3,No,No recibo bono,No,0,1-10,No,No cambié de empresa,socio
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,10+,7 - 8,PM,,,,,,,,,Freelance,65000,Bruto,4,3,No,No recibo bono,No,0,201-500,No,No cambié de empresa,Vacaciones flexibles (adicionales a las reglamentarias);WFH (Trabajar desde casa)
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,8 - 10,7 - 8,Designer,,,,,,,,,Full-Time,46000,Bruto,3,2,No,No recibo bono,Uno,10,11-50,Sí,Desafíos profesionales,WFH (Trabajar desde casa)
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,3 - 5,2 - 3,SysAdmin / DevOps,Linux;Windows;AWS / Rackspace;Docker / Containers;VMWare,,,,,No,0,Porcentaje de mi sueldo,Full-Time,12000,Neto,3,3,No,No recibo bono,No,0,11-50,No,No cambié de empresa,Aumento por inflación;Capacitaciones y/o cursos;WFH (Trabajar desde casa)
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,5 - 7,3 - 4,Developer,,CSS;HTML;Javascript;NodeJS;Ruby,,,,No,0,Porcentaje de mi sueldo,Full-Time,51000,Bruto,5,3,Menos de un sueldo,Performance de la compañía,Uno,17,11-50,No,No cambié de empresa,Descuentos en gimnasios;Horarios flexibles;Vacaciones flexibles (adicionales a las reglamentarias);WFH (Trabajar desde casa)
Hombre,37 - 40,Córdoba,10+,5 - 6,Analista,,,,,,,,,Full-Time,20000,Neto,4,3,Un sueldo,Performance grupal,Uno,15,1001+,No,No cambié de empresa,"Aumento por inflación;Comidas pagas/subvencionadas;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);Laptop;WFH (Trabajar desde casa)"
Hombre,18 - 20,Ciudad Autónoma de Buenos Aires,3 - 5,Menos de un año,Developer,,Python,,,,No,0,Bruto,Remoto (empresa de otro país),15000,Bruto,2,3,No,No recibo bono,No,0,1-10,Sí,Mejores beneficios,Horarios flexibles;Vacaciones flexibles (adicionales a las reglamentarias);Viajes al exterior;WFH (Trabajar desde casa)
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,10+,2 - 3,Analista,,,,,,,,,Full-Time,17248,Neto,3,2,Un sueldo,Tiene descuentos por faltar sin justificacion (sindicato),No,0,1001+,No,No cambié de empresa,"Abono de celular y/o Internet;Descuentos en gimnasios;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);WFH (Trabajar desde casa)"
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,10+,2 - 3,SysAdmin / DevOps,*BSD;Linux;Windows;VMWare,,,,,No,0,Bruto,Full-Time,22794,Neto,2,2,No,No recibo bono,Uno,31,1001+,No,No cambié de empresa,Horarios flexibles;Vacaciones flexibles (adicionales a las reglamentarias);Me reconocen toda la antigüedad en el rubro para el cálculo de las vacaciones
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,5 - 7,Menos de un año,Developer,,".NET;HTML;Javascript;jQuery;Angular, SharePoint",,,,No,0,Porcentaje de mi sueldo,Full-Time,35000,Neto,4,4,No,No recibo bono,Uno,25,11-50,No,No cambié de empresa,Aumento por inflación;Capacitaciones y/o cursos;Clases de idiomas;Comidas pagas/subvencionadas;Horarios flexibles;WFH (Trabajar desde casa)
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,3 - 5,Menos de un año,Infosec,,,,,,No,0,Porcentaje de mi sueldo,Full-Time,26000,Neto,3,3,Un sueldo,Mix de las anteriores,Uno,35,51-100,No,No cambié de empresa,Aumento por inflación;Bonos por desempeño;Vacaciones flexibles (adicionales a las reglamentarias)
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,3 - 5,1 - 2,Developer,,Objective-C;Swift,,,,No,0,Porcentaje de mi sueldo,Full-Time,37000,Neto,3,3,No,No recibo bono,No,0,1-10,No,No cambié de empresa,Ninguna de las anteriores
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,8 - 10,3 - 4,SysAdmin / DevOps,Linux;Docker / Containers,,,,,No,0,Bruto,Full-Time,30000,Neto,2,2,No,No recibo bono,Uno,20,51-100,No,No cambié de empresa,Clases de idiomas
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,8 - 10,1 - 2,Infosec,,,,,,No,0,Bruto,Full-Time,10000,Neto,1,1,No,No recibo bono,No,0,1-10,No,No cambié de empresa,WFH (Trabajar desde casa)
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,1 - 2,1 - 2,Developer,,Cobol :(,,,,No,0,Porcentaje de mi sueldo,Full-Time,10800,Neto,1,1,Menos de un sueldo,Performance individual,Dos,25,1001+,No,No cambié de empresa,Abono de celular y/o Internet;Bonos por desempeño;Capacitaciones y/o cursos;Descuentos en gimnasios;Horarios flexibles;Laptop;WFH (Trabajar desde casa)
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,10+,3 - 4,Manager,,,,,,,,,Full-Time,42250,Bruto,3,3,Un sueldo,Mix de las anteriores,No,0,101-200,No,No cambié de empresa,"Abono de celular y/o Internet;Bonos por desempeño;Descuentos en gimnasios;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);Laptop;Snacks, golosinas, bebidas, etc;Viajes al exterior"
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,8 - 10,1 - 2,Developer,,CSS;HTML;Javascript;jQuery;NodeJS;Ruby,,,,No,0,Porcentaje de mi sueldo,Freelance,46500,Neto,5,4,Un sueldo,Performance de la compañía,Uno,20,51-100,No,No cambié de empresa,"Aumento por inflación;Bonos por desempeño;Laptop;Playroom;Snacks, golosinas, bebidas, etc;Vacaciones flexibles (adicionales a las reglamentarias);Viajes al exterior;WFH (Trabajar desde casa)"
Hombre,21 - 23,Ciudad Autónoma de Buenos Aires,1 - 2,Menos de un año,Developer,,Ruby,,,,No,0,Porcentaje de mi sueldo,Full-Time,14850,Neto,3,2,No,No recibo bono,Uno,10,11-50,No,No cambié de empresa,Comidas pagas/subvencionadas;Horarios flexibles;WFH (Trabajar desde casa)
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,3 - 5,1 - 2,SysAdmin / DevOps,Linux;AWS / Rackspace;Docker / Containers,,,,,No,0,Porcentaje de mi sueldo,Full-Time,17340,Neto,3,1,No,No recibo bono,No,0,51-100,No,No cambié de empresa,Horarios flexibles
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,5 - 7,2 - 3,Developer,,Java;Javascript,,,,No,0,Porcentaje de mi sueldo,Full-Time,22000,Bruto,4,3,No,No recibo bono,No,0,201-500,No,No cambié de empresa,Aumento por inflación;Bonos por desempeño;Capacitaciones y/o cursos;Clases de idiomas;Descuentos en gimnasios;Horarios flexibles;WFH (Trabajar desde casa)
Hombre,27 - 30,Tucumán,3 - 5,4 - 5,Developer,,CSS;HTML;Javascript;jQuery;NodeJS;PHP,,,,No,0,Porcentaje de mi sueldo,Full-Time,16000,Neto,3,2,No,No recibo bono,No,0,11-50,Sí,Desafíos profesionales,Ninguna de las anteriores
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,5 - 7,1 - 2,Developer,,CSS;HTML;Javascript;NodeJS;Scala,,,,"Sí, pasiva",0,Neto,Full-Time,30000,Bruto,4,4,3+ sueldos,Performance individual,Dos,25,201-500,No,No cambié de empresa,"Aumento por inflación;Bonos por desempeño;Capacitaciones y/o cursos;Clases de idiomas;Comidas pagas/subvencionadas;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);Horarios flexibles;Laptop;Playroom"
Hombre,34 - 36,Santa Fe,8 - 10,1 - 2,Networking,,,,,,"Sí, pasiva",0,Neto,Full-Time,18000,Neto,3,1,No,No recibo bono,No,0,51-100,No,No cambié de empresa,Comidas pagas/subvencionadas;WFH (Trabajar desde casa)
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,8 - 10,6 - 7,SysAdmin / DevOps,Linux;Windows;AWS / Rackspace;VMWare,,,,,"Sí, pasiva",2800,Bruto,Full-Time,22000,Neto,4,3,No,No recibo bono,No,0,1-10,No,No cambié de empresa,Abono de celular y/o Internet;Horarios flexibles;WFH (Trabajar desde casa);Pago de impuesto a las ganancias
Hombre,27 - 30,Santa Fe,5 - 7,2 - 3,Developer,,PHP,,,,No,0,Porcentaje de mi sueldo,Freelance,24000,Neto,3,3,No,No recibo bono,No,0,11-50,No,No cambié de empresa,Vacaciones flexibles (adicionales a las reglamentarias);WFH (Trabajar desde casa)
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,10+,8 - 9,SysAdmin / DevOps,Linux;Windows;Docker / Containers;OpenStack;VMWare,,,,,No,0,Neto,Full-Time,39000,Bruto,2,2,No,No recibo bono,Uno,17,201-500,No,No cambié de empresa,"Capacitaciones y/o cursos;Clases de idiomas;Cuota para universidad;Descuentos en gimnasios;Horarios flexibles;Laptop;Snacks, golosinas, bebidas, etc;Viajes al exterior;WFH (Trabajar desde casa)"
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,8 - 10,6 - 7,HelpDesk,,,,,,No,0,Porcentaje de mi sueldo,Full-Time,25000,Bruto,3,3,Un sueldo,Mix de las anteriores,Uno,25,201-500,No,No cambié de empresa,Clases de idiomas;Cuota para universidad;Viáticos
Hombre,24 - 26,Córdoba,Menos de un año,Menos de un año,Developer,,CSS;HTML;Javascript,,,,No,0,Porcentaje de mi sueldo,Full-Time,13000,Bruto,4,3,No,No recibo bono,No,0,501-1000,No,No cambié de empresa,"Capacitaciones y/o cursos;Clases de idiomas;Descuentos en gimnasios;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);Horarios flexibles;Playroom;Snacks, golosinas, bebidas, etc;Vacaciones flexibles (adicionales a las reglamentarias);WFH (Trabajar desde casa)"
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,5 - 7,2 - 3,Developer,,CSS;HTML;Java;Javascript;jQuery;PHP;Reactjs,,,,No,0,Porcentaje de mi sueldo,Full-Time,28000,Neto,4,4,No,No recibo bono,Uno,20,11-50,No,No cambié de empresa,Ninguna de las anteriores
